ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
AAC,2021-03-31,2021-05-17,,20380504,1002156432.0,935924386.0,,125000000.0
AAC,2021-06-30,2021-08-16,,-14050247,1001910071.0,921824018.0,,125000000.0
AAC,2021-09-30,2021-11-12,,13799616,1001745558.0,935623634.0,,125000000.0
AAC,2021-12-31,2022-03-04,,-4280801,1001570671.0,931342833.0,,125000000.0
AAC,2022-03-31,2022-05-11,,17063156,1001528040.0,948405989.0,,125000000.0
AAC,2022-06-30,2022-08-10,,5940118,1001117537.0,954346107.0,,125000000.0
AAC,2022-09-30,2022-11-14,,8160214,1005443994.0,962506321.0,,125000000.0
AAC,2022-12-31,2023-02-28,,-10179898,1013478050.0,952326423.0,,25000000.0
AAC,2023-03-31,2023-05-08,,-10338862,485037910.0,403002397.0,-2861416.0,98498541.0
AAC,2023-06-30,2023-08-08,,2346495,492175600.0,407289729.0,-4034557.0,98498541.0
AAC,2023-09-30,2023-11-08,,7327055,487248536.0,404735816.0,-3542280.0,98498541.0
