ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
AAT,2020-06-30,2020-07-31,82109000.0,9826000,2846282000.0,1276488000.0,9051000.0,76114687.0
AAT,2020-09-30,2020-10-30,84374000.0,6490000,2844114000.0,1265982000.0,26578000.0,76118032.0
AAT,2020-12-31,2021-02-16,81347000.0,-4140000,2817309000.0,1253406000.0,3038000.0,76132713.0
AAT,2021-03-31,2021-04-30,83986000.0,1733000,3049346000.0,1235439000.0,31133000.0,76165872.0
AAT,2021-06-30,2021-07-30,91809000.0,11487000,3045531000.0,1227146000.0,10067000.0,76167391.0
AAT,2021-09-30,2021-10-29,98286000.0,12895000,3051070000.0,-24100000.0,-172851000.0,76171880.0
AAT,2021-12-31,2022-02-11,101747000.0,2261000,3017927000.0,1210123000.0,-12370000.0,76182377.0
AAT,2022-03-31,2022-04-29,101470000.0,10523000,3011134000.0,-22990000.0,-35847000.0,76183840.0
AAT,2022-06-30,2022-07-29,104155000.0,10582000,3007190000.0,1199968000.0,13677000.0,76221780.0
AAT,2022-09-30,2022-10-28,111023000.0,12772000,3008577000.0,1197723000.0,29581000.0,76225654.0
AAT,2022-12-31,2023-02-10,106000000.0,9629000,2987881000.0,1185525000.0,6063000.0,76290754.0
AAT,2023-03-31,2023-04-28,107754000.0,16136000,3020224000.0,1179726000.0,27667000.0,76326146.0
AAT,2023-06-30,2023-07-28,109721000.0,11983000,3012460000.0,1176116000.0,27433000.0,76327747.0
AAT,2023-09-30,2023-10-27,111198000.0,11778000,3010719000.0,1168650000.0,32638000.0,76332218.0
AAT,2023-12-31,2024-02-14,112491000.0,10481000,2984681000.0,1153675000.0,19174000.0,76375941.0
AAT,2024-03-31,2024-05-03,110695000.0,19260000,2988199000.0,1155388000.0,43965000.0,76491458.0
AAT,2024-06-30,2024-08-02,110890000.0,11904000,2992932000.0,1145656000.0,45045000.0,76494415.0
AAT,2024-09-30,2024-11-01,122810000.0,16657000,3396318000.0,1137961000.0,28987000.0,76501806.0
AAT,2024-12-31,2025-02-12,113460000.0,8977000,3273365000.0,1124321000.0,20170000.0,76570689.0
AAT,2025-03-31,2025-05-02,108607000.0,42535000,2967788000.0,1152360000.0,-46554000.0,76718837.0
