ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
ADMA,2020-06-30,2020-08-05,7787594.0,-20178091,191541568.0,76879455.0,-25452883.0,86347467.0
ADMA,2020-09-30,2020-11-05,10276358.0,-16917453,189976043.0,71375954.0,-26737162.0,87698258.0
ADMA,2020-12-31,2021-03-25,13956087.0,-19407774,207673394.0,88249426.0,-35817757.0,96752976.0
ADMA,2021-03-31,2021-05-12,16048618.0,-18379941,235667028.0,112504086.0,-35800287.0,115661937.0
ADMA,2021-06-30,2021-08-11,17830590.0,-18905303,232813792.0,111593532.0,-36737811.0,115661937.0
ADMA,2021-09-30,2021-11-10,20680550.0,-17712954,238640406.0,102780167.0,-16201056.0,86145052.0
ADMA,2021-12-31,2022-03-24,26383242.0,9394198,276252724.0,141172566.0,-37140846.0,86145052.0
ADMA,2022-03-31,2022-05-11,29103093.0,-25007857,308032492.0,126933065.0,-28855498.0,180813817.0
ADMA,2022-06-30,2022-08-10,33905007.0,-13764906,296932329.0,114400527.0,-16770852.0,196353185.0
ADMA,2022-09-30,2022-11-09,41090137.0,-14899504,300557570.0,100384536.0,-16665242.0,196383935.0
ADMA,2022-12-31,2023-03-23,49981763.0,-12231733,348461000.0,153474000.0,-11127408.0,217948643.0
ADMA,2023-03-31,2023-05-10,56914000.0,-6789000,340787542.0,145654620.0,-16668000.0,221921750.0
ADMA,2023-06-30,2023-08-09,60123000.0,-6371000,343027042.0,146762295.0,-6931000.0,222683393.0
ADMA,2023-09-30,2023-11-08,67275000.0,2565000,348996565.0,151437346.0,11228000.0,233761262.0
ADMA,2023-12-31,2024-02-28,73904000.0,-17645000,329182000.0,136894000.0,16400000.0,226027137.0
ADMA,2024-03-31,2024-05-09,81875000.0,17806000,350875000.0,155394000.0,-4565000.0,236414374.0
ADMA,2024-06-30,2024-08-08,107191000.0,32062000,376399000.0,189957000.0,43580000.0,242167072.0
ADMA,2024-09-30,2024-11-07,119839000.0,35909000,390618000.0,233578000.0,23972000.0,244804065.0
ADMA,2024-12-31,2025-03-18,117549000.0,111896000,488678000.0,350331000.0,47459000.0,249984353.0
ADMA,2025-03-31,2025-05-07,114802000.0,26904000,510569000.0,374732000.0,-24376000.0,244676350.0
