ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
AGS,2020-06-30,2020-08-05,16788000.0,-42639000,792851000.0,71908000.0,-13074000.0,35602000.0
AGS,2020-09-30,2020-11-05,49284000.0,-11078000,777958000.0,63815000.0,7228000.0,35647000.0
AGS,2020-12-31,2021-03-04,46622000.0,-17242000,740778000.0,53783000.0,5366000.0,35764000.0
AGS,2021-03-31,2021-05-06,55359000.0,-7770000,730181000.0,46005000.0,3595000.0,36466000.0
AGS,2021-06-30,2021-08-05,66837000.0,-3883000,736576000.0,46228000.0,18129000.0,36633000.0
AGS,2021-09-30,2021-11-04,67277000.0,-1829000,737499000.0,46382000.0,7570000.0,36725000.0
AGS,2021-12-31,2022-03-10,70223000.0,-9090000,732811000.0,41571000.0,12971000.0,37076000.0
AGS,2022-03-31,2022-05-05,72857000.0,-12594000,679353000.0,33649000.0,-613000.0,36990000.0
AGS,2022-06-30,2022-08-08,76584000.0,1542000,685908000.0,36578000.0,15124000.0,36998000.0
AGS,2022-09-30,2022-11-08,78259000.0,476000,685423000.0,44223000.0,3594000.0,37244000.0
AGS,2022-12-31,2023-03-09,81736000.0,2541000,684751000.0,49361000.0,11526000.0,37868000.0
AGS,2023-03-31,2023-05-09,83175000.0,-334000,676107000.0,54957000.0,-4561000.0,37811000.0
AGS,2023-06-30,2023-08-03,89832000.0,851000,681085000.0,61479000.0,15949000.0,37917000.0
AGS,2023-09-30,2023-11-07,89378000.0,-156000,683748000.0,62744000.0,19737000.0,38162000.0
AGS,2023-12-31,2024-03-06,94151000.0,67000,680338000.0,67667000.0,16552000.0,38844000.0
AGS,2024-03-31,2024-05-09,95973000.0,4345000,666688000.0,72939000.0,16905000.0,39346000.0
AGS,2024-06-30,2024-08-07,96739000.0,440000,666591000.0,69395000.0,15073000.0,39784000.0
AGS,2024-09-30,2024-11-07,99170000.0,2432000,664696000.0,70842000.0,10785000.0,40354000.0
AGS,2024-12-31,2025-03-06,102983000.0,44428000,709592000.0,112735000.0,11588000.0,41056000.0
AGS,2025-03-31,2025-05-08,94825000.0,3211000,709681000.0,117375000.0,13409000.0,41336000.0
