ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
AIRC,2020-12-31,2021-02-02,60687776.0,-125097000,6229278000.0,1305671870.0,-123545000.0,122446000.0
AIRC,2021-03-31,2021-05-07,176413000.0,83310000,6321504000.0,1321695342.0,9311000.0,148830000.0
AIRC,2021-06-30,2021-08-05,178333000.0,-17948000,6429832000.0,1651131000.0,3508000.0,154608000.0
AIRC,2021-09-30,2021-11-02,191777000.0,9378000,6434509000.0,1588312000.0,89045000.0,157042000.0
AIRC,2021-12-31,2022-03-01,194330000.0,372881000,6440360000.0,1813274012.0,51422000.0,29304000.0
AIRC,2022-03-31,2022-05-04,181478000.0,376178000,6302856000.0,2120021246.0,35405000.0,157088000.0
AIRC,2022-06-30,2022-08-01,183500000.0,196927000,6433285000.0,2132406280.0,-396825000.0,156136000.0
AIRC,2022-09-30,2022-11-07,200871000.0,1759000,6722453000.0,2040340679.0,-297054000.0,154057000.0
AIRC,2022-12-31,2023-03-01,207874000.0,329568000,6551883000.0,2151861128.0,-734485000.0,159067000.0
AIRC,2023-03-31,2023-05-02,211993000.0,-11377000,6572347000.0,2055671603.0,-126057000.0,148810000.0
AIRC,2023-06-30,2023-07-31,214560000.0,-1341000,6407010000.0,1998153201.0,36872000.0,148832000.0
AIRC,2023-09-30,2023-11-06,197307000.0,664031000,6399249000.0,2502626223.0,-89617000.0,150045000.0
AIRC,2023-12-31,2024-02-16,196359000.0,-16212000,6134752000.0,2353619779.0,-222376000.0,146480000.0
AIRC,2024-03-31,2024-05-08,195622000.0,-6592000,6198306000.0,2545815000.0,-33276000.0,144550000.0
