ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
ALGT,2020-06-30,2020-08-04,133347000.0,-93103000,3272969000.0,736560000.0,134159000.0,15902000.0
ALGT,2020-09-30,2020-11-05,200984000.0,-29143000,3223093000.0,711698000.0,-27835000.0,16006000.0
ALGT,2020-12-31,2021-03-01,246561000.0,-28838000,3258925000.0,699363000.0,-124695000.0,16108000.0
ALGT,2021-03-31,2021-05-05,279124000.0,6869000,3345200000.0,709654000.0,101794000.0,16167000.0
ALGT,2021-06-30,2021-07-30,472433000.0,95027000,3874706000.0,1147134000.0,171995000.0,17082000.0
ALGT,2021-09-30,2021-10-28,459469000.0,39254000,3766753000.0,1191064000.0,-63396000.0,17766000.0
ALGT,2021-12-31,2022-03-01,496884000.0,10703000,3991073000.0,1223552000.0,72263000.0,20293000.0
ALGT,2022-03-31,2022-05-05,500109000.0,-7881000,4231267000.0,1222296000.0,104342000.0,17835000.0
ALGT,2022-06-30,2022-08-04,629847000.0,4358000,4437873000.0,1232371000.0,-81718000.0,18006000.0
ALGT,2022-09-30,2022-11-03,560325000.0,-46459000,4410964000.0,1188973000.0,-105758000.0,18014000.0
ALGT,2022-12-31,2023-02-27,611549000.0,52475000,4511297000.0,1220698000.0,-143718000.0,15069000.0
ALGT,2023-03-31,2023-05-08,649687000.0,56149000,4680421000.0,1271397000.0,52001000.0,17769000.0
ALGT,2023-06-30,2023-08-07,683810000.0,88469000,4829546000.0,1373561000.0,-145664000.0,17683000.0
ALGT,2023-09-30,2023-11-08,565359000.0,-25066000,4912336000.0,1343145000.0,-199299000.0,17721000.0
ALGT,2023-12-31,2024-02-29,611002000.0,-1956000,4856667000.0,1328560000.0,-127907000.0,18903000.0
ALGT,2024-03-31,2024-05-09,656406000.0,-919000,4935131000.0,1322156000.0,890000.0,17664000.0
ALGT,2024-06-30,2024-08-06,666283000.0,13699000,4903612000.0,1333035000.0,7030000.0,17828000.0
ALGT,2024-09-30,2024-11-05,562196000.0,-36789000,4788252000.0,1299900000.0,-2463000.0,17913000.0
ALGT,2024-12-31,2025-03-03,627705000.0,-216230000,4429853000.0,1089392000.0,83948000.0,18003000.0
ALGT,2025-03-31,2025-05-07,699074000.0,32102000,4503862000.0,1112731000.0,116928000.0,17984000.0
