ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
AMSC,2020-06-30,2020-08-05,21213000.0,-3417000,109670000.0,69419000.0,-3752000.0,21689000.0
AMSC,2020-09-30,2020-11-04,21117000.0,-3712000,111227000.0,66420000.0,-4127000.0,21860000.0
AMSC,2020-12-31,2021-02-03,23632000.0,-7933000,175047000.0,122918000.0,1434000.0,25470000.0
AMSC,2021-03-31,2021-06-02,21164000.0,-7616000,168866000.0,116592000.0,-4000000.0,26497000.0
AMSC,2021-06-30,2021-08-04,25420000.0,-5403000,192167000.0,118553000.0,-6053000.0,23879000.0
AMSC,2021-09-30,2021-11-08,27908000.0,-4434000,184373000.0,116104000.0,-6191000.0,27252000.0
AMSC,2021-12-31,2022-02-02,26799000.0,-4324000,175296000.0,113035000.0,-4391000.0,27252000.0
AMSC,2022-03-31,2022-06-01,28309000.0,-5032000,173887000.0,109389000.0,-3280000.0,27203000.0
AMSC,2022-06-30,2022-08-03,22679000.0,-8710000,176508000.0,101913000.0,-6304000.0,27560000.0
AMSC,2022-09-30,2022-11-01,27680000.0,-9881000,171747000.0,95383000.0,-5828000.0,27867000.0
AMSC,2022-12-31,2023-02-01,23881000.0,-9581000,165072000.0,87207000.0,-5905000.0,27954000.0
AMSC,2023-03-31,2023-05-31,31743000.0,-6870000,175561000.0,81797000.0,-5684000.0,28011000.0
AMSC,2023-06-30,2023-08-09,30254000.0,-5398000,170634000.0,77918000.0,-2459000.0,28258000.0
AMSC,2023-09-30,2023-11-01,34004000.0,-2485000,171327000.0,76894000.0,681000.0,28828000.0
AMSC,2023-12-31,2024-01-24,39353000.0,-1649000,166343000.0,79525000.0,1046000.0,29092000.0
AMSC,2024-03-31,2024-05-29,42028000.0,-1579000,232771000.0,144571000.0,1936000.0,29825000.0
AMSC,2024-06-30,2024-08-06,40290000.0,-2524000,240143000.0,143344000.0,3144000.0,36403000.0
AMSC,2024-09-30,2024-10-30,54471000.0,4887000,298448000.0,187015000.0,12125000.0,37499000.0
AMSC,2024-12-31,2025-02-05,61403000.0,2465000,310278000.0,192676000.0,5350000.0,38463000.0
AMSC,2025-03-31,2025-05-21,66655000.0,1205000,310521000.0,197114000.0,5251000.0,38501000.0
