ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
AMTX,2020-06-30,2020-08-13,47824000.0,2192000,122158000.0,-139898000.0,-2001000.0,21152000.0
AMTX,2020-09-30,2020-11-12,40923000.0,-12217000,122170000.0,-147069000.0,-4102000.0,20861000.0
AMTX,2020-12-31,2021-03-15,37330000.0,-14582000,125139000.0,-152722000.0,-8995000.0,21384000.0
AMTX,2021-03-31,2021-05-12,42807000.0,-18114000,143733000.0,-102074000.0,-20633000.0,26289000.0
AMTX,2021-06-30,2021-08-12,54884000.0,-10557000,143287000.0,-81814000.0,-10515000.0,30924000.0
AMTX,2021-09-30,2021-11-12,49895000.0,-17597000,146979000.0,-93836000.0,-7616000.0,31857000.0
AMTX,2021-12-31,2022-03-10,64363000.0,-881000,160831000.0,-75260000.0,-8535000.0,33658000.0
AMTX,2022-03-31,2022-05-16,52049000.0,-18294000,166486000.0,-80890000.0,-17611000.0,33714000.0
AMTX,2022-06-30,2022-08-08,65901000.0,-209000,178452000.0,-72433000.0,-11390000.0,34536000.0
AMTX,2022-09-30,2022-11-07,71831000.0,-66845000,198875000.0,-184890000.0,-16237000.0,34769000.0
AMTX,2022-12-31,2023-03-09,66732000.0,-22410000,207114000.0,-85854000.0,-16785000.0,35321000.0
AMTX,2023-03-31,2023-05-05,2151000.0,-20846000,210381000.0,-99874000.0,-18874000.0,36425000.0
AMTX,2023-06-30,2023-08-04,45112000.0,-18394000,212585000.0,-109221000.0,-4911000.0,37179000.0
AMTX,2023-09-30,2023-11-09,68690000.0,38450000,277439000.0,-62214000.0,-14948000.0,41841000.0
AMTX,2023-12-31,2024-03-29,70764000.0,-20317000,243406000.0,-103788000.0,19439000.0,39759000.0
AMTX,2024-03-31,2024-05-09,72634000.0,-20920000,242239000.0,-115271000.0,-13861000.0,41889000.0
AMTX,2024-06-30,2024-08-05,66561000.0,-25697000,232088000.0,-128434000.0,-10491000.0,44417000.0
AMTX,2024-09-30,2024-11-12,81441000.0,-14668000,247425000.0,-135040000.0,-9470000.0,47216000.0
AMTX,2024-12-31,2025-03-14,47004000.0,-13554000,259302000.0,-137335000.0,-19361000.0,50086000.0
AMTX,2025-03-31,2025-05-08,42886000.0,-22250000,242518000.0,-153936000.0,-1665000.0,52584000.0
