ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
ANGI,2020-06-30,2020-08-10,375061000.0,12667000,1925391000.0,1327019000.0,60462000.0,51053400.0
ANGI,2020-09-30,2020-11-06,389913000.0,4472000,2414601000.0,1309535000.0,32416000.0,51471900.0
ANGI,2020-12-31,2021-02-16,359301000.0,-14464000,2368182000.0,1309221000.0,404000.0,46792900.0
ANGI,2021-03-31,2021-05-10,387029000.0,1931000,2301589000.0,1238551000.0,-3398000.0,51065300.0
ANGI,2021-06-30,2021-08-06,420988000.0,-30293000,2106728000.0,1213961000.0,26938000.0,49450800.0
ANGI,2021-09-30,2021-11-05,461565000.0,-16995000,2075038000.0,1173330000.0,-49708000.0,50341600.0
ANGI,2021-12-31,2022-03-01,349735000.0,-26021000,2012073000.0,1145527000.0,38377000.0,57310300.0
ANGI,2022-03-31,2022-05-10,436159000.0,-33390000,2004823000.0,1114433000.0,-27551000.0,52042000.0
ANGI,2022-06-30,2022-08-09,515782000.0,-24232000,2017515000.0,1099872000.0,-27344000.0,52042000.0
ANGI,2022-09-30,2022-11-09,498036000.0,-17479000,1968159000.0,1088483000.0,-29044000.0,50245300.0
ANGI,2022-12-31,2023-03-01,314378000.0,-53348000,1907778000.0,1051378000.0,65378000.0,50984286.0
ANGI,2023-03-31,2023-05-09,355497000.0,-15325000,1888905000.0,1048337000.0,22294000.0,50503300.0
ANGI,2023-06-30,2023-08-08,351587000.0,-14699000,1902218000.0,1041884000.0,62110000.0,50608600.0
ANGI,2023-09-30,2023-11-07,351231000.0,-5356000,1905759000.0,1045277000.0,-4963000.0,50633200.0
ANGI,2023-12-31,2024-02-29,300433000.0,-5560000,1856215000.0,1044508000.0,-13169000.0,50614900.0
ANGI,2024-03-31,2024-05-07,305390000.0,-1631000,1834975000.0,1043043000.0,9504000.0,50882100.0
ANGI,2024-06-30,2024-08-07,315134000.0,3760000,1852465000.0,1044137000.0,50046000.0,50697900.0
ANGI,2024-09-30,2024-11-12,296719000.0,35161000,1856007000.0,1069502000.0,18813000.0,50531400.0
ANGI,2024-12-31,2025-02-28,267869000.0,-1286000,1830735000.0,1062801000.0,64015000.0,50568400.0
ANGI,2025-03-31,2025-05-06,245913000.0,15106000,1805534000.0,1049040000.0,-15612000.0,50464000.0
