ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
ANGN,2020-12-31,2021-02-12,459000.0,-28875000,47347000.0,-61930000.0,20475000.0,15223453.0
ANGN,2021-03-31,2021-05-17,371000.0,-36687000,139200000.0,92443000.0,-12604000.0,23443851.0
ANGN,2021-06-30,2021-08-12,540000.0,-17072000,125359000.0,77189000.0,-10787000.0,29670329.0
ANGN,2021-09-30,2021-11-12,1460000.0,-15704000,109940000.0,64514000.0,-15272000.0,29829577.0
ANGN,2021-12-31,2022-03-30,25941000.0,14890000,96513000.0,81507000.0,-14365000.0,30035543.0
ANGN,2022-03-31,2022-05-16,1648000.0,-14240000,81258000.0,67202000.0,,29959251.0
ANGN,2022-06-30,2022-08-15,,-7299000,70813000.0,59760000.0,5581000.0,314572.0
ANGN,2022-09-30,2022-11-14,,-7198000,61316000.0,50210000.0,-5390000.0,317512.0
ANGN,2022-12-31,2023-03-17,,-6651000,22664000.0,8915000.0,-7371000.0,315998.0
ANGN,2023-03-31,2023-05-10,,-8029000,41767000.0,39666000.0,-8156000.0,324106.0
ANGN,2023-06-30,2023-08-14,,-7559000,37619000.0,23557000.0,-9505000.0,9700000.0
ANGN,2023-09-30,2023-11-13,,-10658000,30987000.0,13286000.0,-5230000.0,8376384.0
ANGN,2023-12-31,2024-03-29,,-8949000,27146000.0,11373000.0,-9895000.0,8631166.0
ANGN,2024-03-31,2024-05-15,,-11827000,24480000.0,4870000.0,-12125000.0,10273925.0
ANGN,2024-06-30,2024-08-13,,-7229000,15750000.0,-1652000.0,-8970000.0,11284853.0
ANGN,2024-09-30,2024-11-13,,-18838000,38388000.0,-18986000.0,-7274000.0,13582345.0
ANGN,2024-12-31,2025-03-31,,-14004000,28178000.0,-11312000.0,-8789000.0,13670861.0
ANGN,2025-03-31,2025-05-13,,-11209000,28144000.0,8904000.0,,12950574.0
