ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
ANVS,2020-06-30,2020-07-29,208261.0,-2309490,10201216.0,9498280.0,,6869177.0
ANVS,2020-09-30,2020-11-04,586903.0,-1006354,9402001.0,9120943.0,,6871554.0
ANVS,2020-12-31,2021-03-03,204847.0,-1704613,8119334.0,7540954.0,,6920622.0
ANVS,2021-03-31,2021-05-06,29340.0,-3199673,5964956.0,4368275.0,,6920622.0
ANVS,2021-06-30,2021-07-28,7414.0,-2524602,49496238.0,48612163.0,,7379604.0
ANVS,2021-09-30,2021-11-03,,-2848216,47650490.0,46529889.0,,8099103.0
ANVS,2021-12-31,2022-03-02,0.0,-5914641,46001478.0,44494964.0,,9997083.0
ANVS,2022-03-31,2022-05-04,,-5234063,43296740.0,42040308.0,,8099103.0
ANVS,2022-06-30,2022-08-08,,-5936386,36525323.0,35225938.0,,8163923.0
ANVS,2022-09-30,2022-11-08,,-6431951,32487038.0,29960503.0,,8163923.0
ANVS,2022-12-31,2023-03-31,,-7726167,36022069.0,28323530.0,,8194990.0
ANVS,2023-03-31,2023-05-10,,-9737181,25547363.0,20136073.0,,8194990.0
ANVS,2023-06-30,2023-08-14,,-9537122,22816484.0,20742635.0,,8951309.0
ANVS,2023-09-30,2023-11-08,,-14716616,10223106.0,6658210.0,,9012273.0
ANVS,2023-12-31,2024-03-29,,-22213394,10208264.0,-7750846.0,,9933980.0
ANVS,2024-03-31,2024-05-10,,-1066947,7813295.0,-3354028.0,,10824771.0
ANVS,2024-06-30,2024-08-14,,-5020412,5046455.0,-1750884.0,,11307759.0
ANVS,2024-09-30,2024-11-08,,-12638357,14361576.0,7063700.0,,12251364.0
ANVS,2024-12-31,2025-03-21,,-5864659,13925633.0,9307646.0,,14557882.0
ANVS,2025-03-31,2025-05-13,,-5537069,26737253.0,24053887.0,,17431234.0
