ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
AOUT,2020-07-31,2020-09-10,50468000.0,1789000,260778000.0,227342000.0,-315000.0,13883522.0
AOUT,2020-10-31,2020-12-15,,7339000,335420000.0,268785000.0,3043000.0,14155000.0
AOUT,2021-01-31,2021-03-17,82649000.0,8029000,341405000.0,277704000.0,10873000.0,14254000.0
AOUT,2021-04-30,2021-07-15,64473000.0,1248000,341263000.0,279905000.0,,14607478.0
AOUT,2021-07-31,2021-09-09,60768000.0,3457000,348659000.0,283807000.0,,14301000.0
AOUT,2021-10-31,2021-12-09,70760000.0,4583000,354438000.0,289269000.0,,14348000.0
AOUT,2022-01-31,2022-03-10,70105000.0,3766000,351386000.0,286921000.0,,14205000.0
AOUT,2022-04-30,2022-07-14,45893000.0,-76686000,277840000.0,203031000.0,,12866000.0
AOUT,2022-07-31,2022-09-08,43676000.0,-5695000,270669000.0,197798000.0,,13443000.0
AOUT,2022-10-31,2022-12-01,54436000.0,370000,266472000.0,198777000.0,,13589000.0
AOUT,2023-01-31,2023-03-09,50894000.0,-2863000,253162000.0,195158000.0,18066000.0,13331000.0
AOUT,2023-04-30,2023-06-28,42203000.0,-3836000,243587000.0,191864000.0,6443000.0,13125000.0
AOUT,2023-07-31,2023-09-07,43445000.0,-4113000,239149000.0,186115000.0,,13190000.0
AOUT,2023-10-31,2023-11-30,57931000.0,77000,243650000.0,185991000.0,-8511000.0,13256000.0
AOUT,2024-01-31,2024-03-07,53425000.0,-2910000,239079000.0,182426000.0,13038000.0,12883000.0
AOUT,2024-04-30,2024-06-27,46298000.0,-5302000,240597000.0,177925000.0,14668000.0,12785000.0
AOUT,2024-07-31,2024-09-05,41643000.0,-2365000,244790000.0,175714000.0,,13277000.0
AOUT,2024-10-31,2024-12-05,60232000.0,3111000,254125000.0,178854000.0,,13145000.0
AOUT,2025-01-31,2025-03-06,58505000.0,169000,245883000.0,178686000.0,,13124000.0
AOUT,2025-04-30,2025-06-26,61942000.0,-992000,246355000.0,177610000.0,,12735000.0
