ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
APH,2020-06-30,2020-07-24,1987500000.0,257700000,11203900000.0,4800300000.0,301300000.0,1216000000.0
APH,2020-09-30,2020-10-23,2323400000.0,346600000,11753900000.0,5105200000.0,331000000.0,1232800000.0
APH,2020-12-31,2021-02-10,2426000000.0,356999999,12327299999.0,5451900000.0,370900000.0,1245200000.0
APH,2021-03-31,2021-04-30,2377100000.0,329600000,13133500000.0,5521699999.0,243500000.0,1248200000.0
APH,2021-06-30,2021-07-30,2653900000.0,369800000,14559100000.0,5778300000.0,283500000.0,1248200000.0
APH,2021-09-30,2021-10-29,2818500000.0,426500000,14926100000.0,6008700000.0,270700000.0,1251600000.0
APH,2021-12-31,2022-02-09,3026800000.0,465000000,14678400000.0,6379100000.0,385700000.0,1251600000.0
APH,2022-03-31,2022-04-29,2951900000.0,425700000,14873600000.0,6503500000.0,274500000.0,1256400000.0
APH,2022-06-30,2022-07-29,3136800000.0,472500000,14986100000.0,6541900000.0,452400000.0,1239400000.0
APH,2022-09-30,2022-10-28,3295200000.0,496600000,15097900000.0,6648900000.0,456700000.0,1238600000.0
APH,2022-12-31,2023-02-08,3239200000.0,507500000,15326200000.0,7094100000.0,612800000.0,1233600000.0
APH,2023-03-31,2023-04-28,2974000000.0,439200000,15381500000.0,7386500000.0,435500000.0,1239800000.0
APH,2023-06-30,2023-07-28,3053900000.0,460500000,15237900000.0,7592300000.0,441800000.0,1236400000.0
APH,2023-09-30,2023-10-27,3199200000.0,513900000,15759000000.0,7938300000.0,543900000.0,1244000000.0
APH,2023-12-31,2024-02-07,3327500000.0,514400000,16526400000.0,8426500000.0,738700000.0,1244600000.0
APH,2024-03-31,2024-04-26,3256300000.0,548700000,16722500000.0,8764600000.0,505700000.0,1255800000.0
APH,2024-06-30,2024-07-26,3609700000.0,524800000,18586800000.0,9050500000.0,527700000.0,1264900000.0
APH,2024-09-30,2024-10-25,4038800000.0,604400000,19585600000.0,9526800000.0,475700000.0,1265500000.0
APH,2024-12-31,2025-02-07,4317800000.0,746200000,21440200000.0,9856100000.0,648000000.0,1268200000.0
APH,2025-03-31,2025-04-25,4811000000.0,737800000,22902100000.0,10372400000.0,580400000.0,1266200000.0
