ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
APPN,2020-06-30,2020-08-06,66775000.0,-11815000,471360000.0,298802000.0,-3582000.0,68369823.0
APPN,2020-09-30,2020-11-05,77304000.0,-3612000,492456000.0,297742000.0,-6846000.0,69923553.0
APPN,2020-12-31,2021-02-18,81630000.0,-6381000,512521000.0,296605000.0,5618000.0,70380553.0
APPN,2021-03-31,2021-05-06,88855000.0,-13587000,500595000.0,295560000.0,-3278000.0,70730235.0
APPN,2021-06-30,2021-08-05,82999000.0,-23825000,493915000.0,276346000.0,-7122000.0,70952917.0
APPN,2021-09-30,2021-11-04,92417000.0,-25384000,494370000.0,256476000.0,-26571000.0,71118881.0
APPN,2021-12-31,2022-02-17,104988000.0,-25845000,504519000.0,233917000.0,-23005000.0,71343927.0
APPN,2022-03-31,2022-05-05,114266000.0,-23154000,502513000.0,242756000.0,-23994000.0,72216870.0
APPN,2022-06-30,2022-08-04,110063000.0,-49354000,469629000.0,205060000.0,-30952000.0,72390000.0
APPN,2022-09-30,2022-11-03,117876000.0,-43996000,454560000.0,172942000.0,-44873000.0,72503000.0
APPN,2022-12-31,2023-02-16,125786000.0,-34417000,594214000.0,145700000.0,-15827000.0,72710830.0
APPN,2023-03-31,2023-05-09,135235000.0,-36829000,644818000.0,116399000.0,-29686000.0,72869000.0
APPN,2023-06-30,2023-08-03,127715000.0,-42355000,612356000.0,80632000.0,-15321000.0,73041000.0
APPN,2023-09-30,2023-11-02,137094000.0,-22251000,597038000.0,68101000.0,-65469000.0,73178000.0
APPN,2023-12-31,2024-02-15,145319000.0,-10006000,627503000.0,52341000.0,-9603000.0,73320000.0
APPN,2024-03-31,2024-05-02,149835000.0,-32923000,595358000.0,-9665000.0,16668000.0,73300000.0
APPN,2024-06-30,2024-08-01,146450000.0,-43592000,554581000.0,-45658000.0,-18349000.0,72300000.0
APPN,2024-09-30,2024-11-07,154052000.0,-2100000,549913000.0,-49801000.0,-8599000.0,72396000.0
APPN,2024-12-31,2025-02-19,166685000.0,-13647000,621039000.0,-32640000.0,13360000.0,73956000.0
APPN,2025-03-31,2025-05-08,166426000.0,-1177000,592899000.0,-31745000.0,44315000.0,74094000.0
