ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
ARE,2020-06-30,2020-07-27,436956000.0,229654000,20069108000.0,11068976000.0,-372179000.0,124448000.0
ARE,2020-09-30,2020-10-26,545042000.0,81056000,21910671000.0,12335120000.0,-1121286000.0,125828000.0
ARE,2020-12-31,2021-02-01,463720000.0,441484000,22827878000.0,13443778000.0,-233062000.0,133899000.0
ARE,2021-03-31,2021-04-26,479849000.0,8121000,25234346000.0,14781962000.0,-2098706000.0,137688000.0
ARE,2021-06-30,2021-07-26,509619000.0,385084000,27018850000.0,16181817000.0,-1373237000.0,137688000.0
ARE,2021-09-30,2021-10-25,547759000.0,103147000,28558718000.0,16972121000.0,-1003089000.0,151561000.0
ARE,2021-12-31,2022-01-31,576923000.0,74895000,30219373000.0,19033250000.0,-2257260000.0,151561000.0
ARE,2022-03-31,2022-04-25,615065000.0,-149569000,32844256000.0,20180616000.0,-2379078000.0,154307000.0
ARE,2022-06-30,2022-07-25,643764000.0,272214000,33244053000.0,20462136000.0,-275711000.0,158198000.0
ARE,2022-09-30,2022-10-24,659852000.0,344696000,34368614000.0,21255379000.0,-281511000.0,161554000.0
ARE,2022-12-31,2023-01-30,670281000.0,54319000,35523399000.0,22683247000.0,-960222000.0,172577000.0
ARE,2023-03-31,2023-04-24,700795000.0,77862000,36912465000.0,22686767000.0,-745339000.0,170784000.0
ARE,2023-06-30,2023-07-24,713900000.0,89937000,36659257000.0,22767252000.0,-572436000.0,170864000.0
ARE,2023-09-30,2023-10-23,713788000.0,24269000,36783293000.0,22712882000.0,-1679121000.0,170890000.0
ARE,2023-12-31,2024-01-29,757216000.0,-88429000,36771402000.0,22622993000.0,37325000.0,171098000.0
ARE,2024-03-31,2024-04-22,769108000.0,170545000,37699046000.0,22755918000.0,-529443000.0,171949000.0
ARE,2024-06-30,2024-07-22,766734000.0,46702000,37847865000.0,22666867000.0,-143196000.0,172013000.0
ARE,2024-09-30,2024-10-21,791607000.0,167947000,38488128000.0,22703450000.0,-625000.0,172058000.0
ARE,2024-12-31,2025-01-27,788945000.0,-62245000,37527449000.0,22398461000.0,-178314000.0,172264000.0
ARE,2025-03-31,2025-04-28,758158000.0,-8939000,37600428000.0,21999558000.0,-369710000.0,170522000.0
