ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
ARKR,2020-06-30,2020-08-11,7199000.0,-2526000,157260000.0,81830000.0,-4912000.0,3502000.0
ARKR,2020-09-30,2020-12-22,21774000.0,-1897000,153316000.0,37153000.0,-2522000.0,3457000.0
ARKR,2020-12-31,2021-02-16,20299000.0,-763000,158750000.0,36442000.0,-3597000.0,3502000.0
ARKR,2021-03-31,2021-05-18,25767000.0,4161000,160834000.0,53812000.0,810000.0,3656000.0
ARKR,2021-06-30,2021-08-17,42965000.0,2670000,162121000.0,44473000.0,7748000.0,3648000.0
ARKR,2021-09-30,2021-12-21,42839000.0,6828000,161216000.0,51452000.0,2103000.0,3610000.0
ARKR,2021-12-31,2022-02-15,43986000.0,2209000,158826000.0,103930000.0,3403000.0,3597000.0
ARKR,2022-03-31,2022-05-17,39586000.0,1055000,156168000.0,54119000.0,414000.0,3604000.0
ARKR,2022-06-30,2022-08-16,53218000.0,5255000,182780000.0,146153000.0,10234000.0,3597000.0
ARKR,2022-09-30,2022-12-20,46885000.0,762000,209534000.0,60118000.0,3595000.0,3614000.0
ARKR,2022-12-31,2023-02-14,47445000.0,1725000,203633000.0,61649000.0,-1700000.0,3648000.0
ARKR,2023-03-31,2023-05-16,41897000.0,-484000,193312000.0,161946000.0,1726000.0,3644000.0
ARKR,2023-06-30,2023-08-15,51051000.0,3195000,187010000.0,62967000.0,3729000.0,3641000.0
ARKR,2023-09-30,2023-12-21,44400000.0,-10364000,176956000.0,65551000.0,774000.0,3603000.0
ARKR,2023-12-31,2024-02-13,47487000.0,1370000,173550000.0,52278000.0,282000.0,3631000.0
ARKR,2024-03-31,2024-05-14,42257000.0,-1449000,169551000.0,62534000.0,-148000.0,3626000.0
ARKR,2024-06-30,2024-08-13,50396000.0,640000,166533000.0,61340000.0,2537000.0,3627000.0
ARKR,2024-09-30,2024-12-19,43406000.0,-4457000,156041000.0,43641000.0,-482000.0,3604000.0
ARKR,2024-12-31,2025-02-11,44988000.0,3164000,154640000.0,48541000.0,-1977000.0,3611000.0
ARKR,2025-03-31,2025-05-13,39725000.0,-9258000,141891000.0,37551000.0,290000.0,3605000.0
