ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
ARRW,2021-03-31,2021-05-16,,1630620,289394389.0,261104954.0,,35937500.0
ARRW,2021-06-30,2021-08-16,,-1805013,288964056.0,259299941.0,,35937500.0
ARRW,2021-09-30,2021-11-12,,4952658,288596978.0,264252599.0,,35937500.0
ARRW,2021-12-31,2022-03-31,,66598,288300858.0,264319197.0,,16403252.0
ARRW,2022-03-31,2022-05-16,,5921767,288059076.0,270240964.0,,35937500.0
ARRW,2022-06-30,2022-08-15,,4488689,288479627.0,274729653.0,,35937500.0
ARRW,2022-09-30,2022-11-14,,870289,289333755.0,275599942.0,,35937500.0
ARRW,2022-12-31,2023-03-31,,2240554,290960247.0,277840496.0,,7187500.0
ARRW,2023-03-31,2023-05-15,,-1694692,46650829.0,30769722.0,,28376197.0
ARRW,2023-06-30,2023-08-18,101245000.0,-1904000,45830184.0,23507572.0,-6008969.0,77242379.0
ARRW,2023-09-30,2023-11-14,,275535,46711401.0,23783107.0,3648189.0,4445813.0
ARRW,2023-12-31,2024-04-01,,949693,105321000.0,-21182000.0,,15761695.0
ARRW,2024-03-31,2024-05-16,,-4236183,10892436.0,-13644301.0,,9560972.0
ARRW,2024-06-30,2024-08-13,135538000.0,-314026000,156686000.0,7669000.0,-9414038.0,99569095.0
