ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
ASTE,2020-06-30,2020-08-10,265300000.0,9300000,793838000.0,621824000.0,78000000.0,22711000.0
ASTE,2020-09-30,2020-11-06,231400000.0,1600000,819655000.0,623283000.0,16700000.0,22946000.0
ASTE,2020-12-31,2021-03-01,238900000.0,14700000,848200000.0,643000000.0,32200000.0,23140972.0
ASTE,2021-03-31,2021-05-06,284400000.0,8700000,868300000.0,647000000.0,12700000.0,22874810.0
ASTE,2021-06-30,2021-08-05,277600000.0,8300000,902300000.0,659300000.0,12100000.0,22918000.0
ASTE,2021-09-30,2021-11-05,266900000.0,9000000,910700000.0,663100000.0,-6700000.0,22914000.0
ASTE,2021-12-31,2022-02-28,266600000.0,-10000000,905800000.0,651300000.0,-28900000.0,23087718.0
ASTE,2022-03-31,2022-05-05,291200000.0,4100000,943400000.0,657400000.0,-21000000.0,22904167.0
ASTE,2022-06-30,2022-08-03,318200000.0,-3900000,949900000.0,643900000.0,-39500000.0,22850515.0
ASTE,2022-09-30,2022-11-03,315200000.0,300000,944600000.0,628100000.0,-23200000.0,22916316.0
ASTE,2022-12-31,2023-03-01,349900000.0,-600000,1014400000.0,626900000.0,-25200000.0,22491870.0
ASTE,2023-03-31,2023-05-04,347900000.0,12100000,1008400000.0,635600000.0,-31200000.0,22743000.0
ASTE,2023-06-30,2023-08-03,350000000.0,13300000,1010400000.0,647500000.0,7700000.0,22769000.0
ASTE,2023-09-30,2023-11-02,303100000.0,-6400000,1074400000.0,634800000.0,-24100000.0,22747000.0
ASTE,2023-12-31,2024-02-28,337200000.0,14900000,1059300000.0,653700000.0,37600000.0,22866476.0
ASTE,2024-03-31,2024-05-02,309200000.0,3200000,1123000000.0,650500000.0,-52400000.0,22834814.0
ASTE,2024-06-30,2024-08-08,345500000.0,-14000000,1107000000.0,633300000.0,4000000.0,22796729.0
ASTE,2024-09-30,2024-11-07,291400000.0,-6200000,1067100000.0,631400000.0,21100000.0,22816359.0
ASTE,2024-12-31,2025-02-26,359000000.0,20900000,1043600000.0,637600000.0,32100000.0,22821098.0
ASTE,2025-03-31,2025-04-29,329400000.0,14300000,1056000000.0,653100000.0,16600000.0,22976526.0
