ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
ATNX,2020-06-30,2020-08-06,40172000.0,-40451000,298052000.0,126246000.0,-27372000.0,4078222.0
ATNX,2020-09-30,2020-11-05,35476000.0,-36806000,409640000.0,212235000.0,-29081000.0,4185603.0
ATNX,2020-12-31,2021-03-01,21808000.0,-49493000,384329000.0,165348000.0,-32796000.0,4675771.0
ATNX,2021-03-31,2021-05-06,41025000.0,-25050000,349656000.0,143124000.0,-32804000.0,4671497.0
ATNX,2021-06-30,2021-08-05,20698000.0,-34274000,408957000.0,169880000.0,-41017000.0,4671497.0
ATNX,2021-09-30,2021-11-04,31425000.0,-36057000,385894000.0,135879000.0,52482000.0,5464637.0
ATNX,2021-12-31,2022-03-16,4094000.0,-104387000,267448000.0,34452000.0,4432000.0,5464637.0
ATNX,2022-03-31,2022-05-10,29724000.0,-17420000,236862000.0,20799000.0,-6096000.0,5470574.0
ATNX,2022-06-30,2022-07-29,31516000.0,-32157000,221887000.0,-5473000.0,-28112000.0,5650308.0
ATNX,2022-09-30,2022-11-03,33530000.0,-19669000,228350000.0,7236000.0,57404000.0,6973670.0
ATNX,2022-12-31,2023-03-20,8633000.0,-34181000,204055000.0,-24181000.0,3811000.0,6973670.0
