ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
AVNT,2020-06-30,2020-07-22,609100000.0,22800000,4337000000.0,1551700000.0,78600000.0,91800000.0
AVNT,2020-09-30,2020-11-03,924500000.0,1700000,4709900000.0,1611100000.0,-24600000.0,91900000.0
AVNT,2020-12-31,2021-02-25,-30200000.0,74300000,4870500000.0,1711700000.0,127800000.0,92000000.0
AVNT,2021-03-31,2021-04-30,1162300000.0,79300000,4909400000.0,1722000000.0,-12900000.0,92200000.0
AVNT,2021-06-30,2021-07-30,1235200000.0,68800000,5047400000.0,1786400000.0,38900000.0,92400000.0
AVNT,2021-09-30,2021-10-28,818000000.0,52900000,5011000000.0,1785400000.0,21300000.0,92200000.0
AVNT,2021-12-31,2022-02-22,807000000.0,29800000,4997200000.0,1790500000.0,85900000.0,92500000.0
AVNT,2022-03-31,2022-04-27,892200000.0,84200000,5046999999.0,1829300000.0,5600000.0,92400000.0
AVNT,2022-06-30,2022-07-26,891000000.0,84700000,5043600000.0,1825800000.0,67100000.0,92100000.0
AVNT,2022-09-30,2022-11-02,823300000.0,-10300000,6307100000.0,1736100000.0,96100000.0,90900000.0
AVNT,2022-12-31,2023-02-22,790400000.0,544500000,6085000000.0,2352800000.0,124100000.0,93400000.0
AVNT,2023-03-31,2023-05-03,845700000.0,19900000,6111200000.0,2368600000.0,-42500000.0,91800000.0
AVNT,2023-06-30,2023-07-27,824400000.0,22100000,6051800000.0,2353700000.0,-28100000.0,800000.0
AVNT,2023-09-30,2023-11-02,753700000.0,5100000,5789700000.0,2295900000.0,42700000.0,91900000.0
AVNT,2023-12-31,2024-02-20,719000000.0,28800000,5968500000.0,2338000000.0,110100000.0,182700000.0
AVNT,2024-03-31,2024-05-07,829000000.0,49400000,5876100000.0,2337800000.0,-67200000.0,92000000.0
AVNT,2024-06-30,2024-08-06,849700000.0,33600000,5907800000.0,2334200000.0,74500000.0,92200000.0
AVNT,2024-09-30,2024-11-05,815200000.0,38200000,6047300000.0,2380200000.0,46100000.0,92300000.0
AVNT,2024-12-31,2025-02-18,746500000.0,48300000,5811100000.0,2329600000.0,81500000.0,91500000.0
AVNT,2025-03-31,2025-05-06,826600000.0,-20200000,5811200000.0,2314400000.0,-63600000.0,91800000.0
