ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
AXDX,2020-06-30,2020-08-07,2125000.0,-19230000,114815000.0,-36990000.0,-10003000.0,55445000.0
AXDX,2020-09-30,2020-11-06,3588000.0,-18757000,104219000.0,-49668000.0,-13377000.0,56560000.0
AXDX,2020-12-31,2021-03-02,3109000.0,-18912000,93425000.0,-62812000.0,-10345000.0,58531000.0
AXDX,2021-03-31,2021-05-07,2518000.0,-24239000,92668000.0,-66364000.0,,58531000.0
AXDX,2021-06-30,2021-08-11,2798000.0,-21674000,93989000.0,-69750000.0,-9582000.0,61049000.0
AXDX,2021-09-30,2021-11-15,3122000.0,-8986000,81161000.0,-39747000.0,-12621000.0,59790000.0
AXDX,2021-12-31,2022-03-14,3343000.0,-22803000,83047000.0,-35071000.0,-12348000.0,61049000.0
AXDX,2022-03-31,2022-05-16,2958000.0,-13465000,70357000.0,-56776000.0,-13053000.0,61146000.0
AXDX,2022-06-30,2022-08-15,3861000.0,-18523000,58726000.0,-61964000.0,-12999000.0,67755000.0
AXDX,2022-09-30,2022-11-14,2960000.0,-15896000,75847000.0,-9988000.0,-13574000.0,87011000.0
AXDX,2022-12-31,2023-03-31,2972000.0,-14609000,65015000.0,-22264000.0,-9658000.0,8216000.0
AXDX,2023-03-31,2023-05-15,2812000.0,-16795000,51002000.0,-38725000.0,-13379000.0,98301000.0
AXDX,2023-06-30,2023-08-14,2921000.0,-32735000,49878000.0,-38663000.0,-10976000.0,1100900.0
AXDX,2023-09-30,2023-11-09,3299000.0,910000,39324000.0,-35033000.0,-9011000.0,1100900.0
AXDX,2023-12-31,2024-03-29,3027000.0,-12998000,31366000.0,-19888000.0,-7865000.0,1100900.0
AXDX,2024-03-31,2024-05-13,2921000.0,-14230000,30722000.0,-25780000.0,-8965000.0,19216000.0
AXDX,2024-06-30,2024-08-08,2986000.0,-11588000,22867000.0,-34887000.0,-7585000.0,23058000.0
