ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
BBGI,2020-06-30,2020-08-06,30383132.0,-17734961,734665330.0,257061115.0,2623993.0,1398856.0
BBGI,2020-09-30,2020-11-12,49649659.0,-2385398,735936010.0,257103241.0,-7330338.0,1457707.0
BBGI,2020-12-31,2021-02-19,68460644.0,11190998,738614356.0,267101820.0,-737254.0,1423349.0
BBGI,2021-03-31,2021-05-07,48212040.0,-10555392,762098552.0,252739797.0,1687239.0,1465140.0
BBGI,2021-06-30,2021-08-06,59574705.0,187694,771863967.0,253307219.0,970500.0,1461724.0
BBGI,2021-09-30,2021-11-07,62902935.0,-1620323,762948939.0,251933434.0,-11976990.0,1462730.0
BBGI,2021-12-31,2022-02-23,70736628.0,10582176,762088062.0,263082298.0,3275756.0,1461327.0
BBGI,2022-03-31,2022-05-09,55720268.0,-3738945,746632667.0,259541004.0,-640401.0,1470612.0
BBGI,2022-06-30,2022-08-15,64810450.0,-14454717,748609547.0,245537024.0,2090357.0,1468539.0
BBGI,2022-09-30,2022-11-07,63823288.0,498068,744982999.0,246283787.0,-9192194.0,1470948.0
BBGI,2022-12-31,2023-03-27,72027012.0,-24361836,714943355.0,223488808.0,6711634.0,1484699.0
BBGI,2023-03-31,2023-04-27,57779120.0,-3536566,698128402.0,220100965.0,-3614445.0,1489288.0
BBGI,2023-06-30,2023-08-04,63461723.0,-10430629,698426475.0,209809453.0,1494543.0,1492657.0
BBGI,2023-09-30,2023-11-03,60119757.0,-67536837,594381187.0,142448359.0,-5695699.0,1498131.0
BBGI,2023-12-31,2024-02-16,65748658.0,6383894,574267938.0,148978635.0,-9354826.0,1498669.0
BBGI,2024-03-31,2024-05-09,54380346.0,7970,566279862.0,149127330.0,-4984608.0,1523337.0
BBGI,2024-06-30,2024-08-14,60435657.0,-276021,573168183.0,149088151.0,5555583.0,1517711.0
BBGI,2024-09-30,2024-11-08,58190116.0,-3560575,571478787.0,145833131.0,-6272493.0,1529521.0
BBGI,2024-12-31,2025-03-26,67285492.0,-2058632,549206825.0,147219707.0,-1559647.0,1755454.0
BBGI,2025-03-31,2025-05-08,48912465.0,-2689821,539259398.0,144619400.0,-4274670.0,1792029.0
