ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
BCAC,2021-03-31,2021-05-23,,-169999,58684111.0,58392749.0,,12734501.0
BCAC,2021-06-30,2021-08-16,,-281577,58552563.0,58111172.0,-58143889.0,12734501.0
BCAC,2021-09-30,2021-12-09,,-7301000,58419903.0,58186545.0,-76458197.0,7434500.0
BCAC,2021-12-31,2022-04-07,,-8093000,39096000.0,22001000.0,-5148000.0,7434499.0
BCAC,2022-03-31,2022-05-23,,-9042000,58278559.0,55622138.0,-8383000.0,7434500.0
BCAC,2022-06-30,2022-08-18,,-8104000,51823788.0,46993808.0,-5802000.0,1684500.0
BCAC,2022-09-30,2022-11-14,,-8492000,27574000.0,10413000.0,-13512000.0,1684500.0
BCAC,2022-12-31,2023-02-22,,-6431000,22855000.0,6377000.0,-3053000.0,1684500.0
BCAC,2023-03-31,2023-05-15,,-6053000,17576000.0,3113000.0,-6912000.0,1684500.0
BCAC,2023-06-30,2023-08-10,,-6047000,13083000.0,-2322000.0,-3001000.0,1684500.0
