ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
BGNE,2020-06-30,2020-08-06,65635000.0,-335202000,3903290000.0,2546492000.0,-295547000.0,77706928.0
BGNE,2020-09-30,2020-11-05,91080000.0,-425224000,5566390000.0,4296514000.0,-374922000.0,88379009.0
BGNE,2020-12-31,2021-02-25,100100000.0,-500813000,5600757000.0,3869243000.0,-367023000.0,90456074.0
BGNE,2021-03-31,2021-05-06,605872000.0,66495000,5821004000.0,4003587000.0,82706000.0,96726105.0
BGNE,2021-06-30,2021-08-05,149992000.0,-480341000,5524116000.0,3606775000.0,-458797000.0,96726105.0
BGNE,2021-09-30,2021-11-04,206440000.0,-438114000,5286334000.0,3357073000.0,-562756000.0,7135639.0
BGNE,2021-12-31,2022-02-28,213979000.0,-590678000,8535525000.0,6132563000.0,-666227000.0,7135639.0
BGNE,2022-03-31,2022-05-09,306626000.0,-435198000,8021388000.0,5885500000.0,-281694000.0,7309450.0
BGNE,2022-06-30,2022-08-08,341572000.0,-565726000,7378207000.0,5302544000.0,-430249000.0,7881444.0
BGNE,2022-09-30,2022-11-09,387628000.0,-557556000,6726013000.0,4655171000.0,-670561000.0,7907749.0
BGNE,2022-12-31,2023-02-27,380095000.0,-445335000,6379290000.0,4383355000.0,-439549000.0,389417032.0
BGNE,2023-03-31,2023-05-04,447801000.0,-348431000,5956775000.0,4157306000.0,-689362000.0,104162353.0
BGNE,2023-06-30,2023-08-02,595261000.0,-381137000,5728736000.0,3798559000.0,-415358000.0,104628459.0
BGNE,2023-09-30,2023-11-09,781308000.0,215413000,5524879000.0,3763234000.0,-245445000.0,10694432.0
BGNE,2023-12-31,2024-02-26,634409000.0,-367553000,5805275000.0,3537327000.0,-388549000.0,198274947.0
BGNE,2024-03-31,2024-05-08,751652000.0,-251150000,5667681000.0,3360361000.0,-469824000.0,104268723.0
BGNE,2024-06-30,2024-08-07,929166000.0,-120405000,5712179000.0,3366255000.0,-205538000.0,104694471.0
BGNE,2024-09-30,2024-11-12,1001599000.0,-121350000,5830860000.0,3436073000.0,54714000.0,105899754.0
BGNE,2024-12-31,2025-02-27,1127824000.0,-151881000,5920910000.0,3332222000.0,-17320000.0,106273065.0
BGNE,2025-03-31,2025-05-07,1117279000.0,1270000,5841526000.0,3499513000.0,-12325000.0,111168878.0
