ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
BIIB,2020-06-30,2020-07-22,3681600000.0,1542100000,25511800000.0,11289200000.0,1843500000.0,160900000.0
BIIB,2020-09-30,2020-10-21,3376100000.0,701500000,24934100000.0,10744500000.0,1097000000.0,157200000.0
BIIB,2020-12-31,2021-02-03,2852600000.0,357900000,24618899999.0,10686100000.0,-468100000.0,154000000.0
BIIB,2021-03-31,2021-04-22,2694000000.0,410200000,23854700000.0,10663200000.0,676400000.0,152300000.0
BIIB,2021-06-30,2021-07-22,2775000000.0,448500000,24470400000.0,11214800000.0,1155400000.0,150000000.0
BIIB,2021-09-30,2021-10-20,2778900000.0,329200000,23806700000.0,10881700000.0,761400000.0,148600000.0
BIIB,2021-12-31,2022-02-03,2733800000.0,368200000,23877300000.0,10959700000.0,769800000.0,143500000.0
BIIB,2022-03-31,2022-05-03,2531800000.0,303800000,23614400000.0,11220700000.0,103900000.0,147500000.0
BIIB,2022-06-30,2022-07-20,2589100000.0,1058000000,25081400000.0,11863400000.0,699600000.0,147600000.0
BIIB,2022-09-30,2022-10-25,2508500000.0,1134700000,24854200000.0,12766800000.0,137500000.0,146200000.0
BIIB,2022-12-31,2023-02-15,2544000000.0,550400000,24554100000.0,13388400000.0,-261400000.0,157100000.0
BIIB,2023-03-31,2023-04-25,2463000000.0,387900000,24598400000.0,13787000000.0,383700000.0,145200000.0
BIIB,2023-06-30,2023-07-25,2456000000.0,591600000,25156800000.0,14460500000.0,421000000.0,145500000.0
BIIB,2023-09-30,2023-11-08,2530300000.0,-68100000,28193200000.0,14479700000.0,518200000.0,145700000.0
BIIB,2023-12-31,2024-02-14,2386300000.0,249700000,26844800000.0,14799400000.0,-52700000.0,145900000.0
BIIB,2024-03-31,2024-04-24,2290500000.0,393400000,26567600000.0,15213000000.0,507300000.0,145900000.0
BIIB,2024-06-30,2024-08-01,2464900000.0,583600000,26804100000.0,15889100000.0,556300000.0,145900000.0
BIIB,2024-09-30,2024-10-30,2465800000.0,388500000,28313200000.0,16358900000.0,886200000.0,146100000.0
BIIB,2024-12-31,2025-02-12,2454700000.0,266700000,28049300000.0,16716000000.0,721600000.0,145700000.0
BIIB,2025-03-31,2025-05-01,2431000000.0,240500000,28033100000.0,16978700000.0,222200000.0,146600000.0
