ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
BKNG,2020-06-30,2020-08-06,630000000.0,122000000,20912000000.0,3999000000.0,52000000.0,1024875000.0
BKNG,2020-09-30,2020-11-05,2640000000.0,801000000,22145000000.0,4913000000.0,848000000.0,1027025000.0
BKNG,2020-12-31,2021-02-24,1238000000.0,-165000000,21874000000.0,4893000000.0,-641000000.0,1036775000.0
BKNG,2021-03-31,2021-05-05,1141000000.0,-55000000,23655000000.0,4764000000.0,-272000000.0,1024325000.0
BKNG,2021-06-30,2021-08-04,2160000000.0,-167000000,23881000000.0,4799000000.0,1093000000.0,1024325000.0
BKNG,2021-09-30,2021-11-03,4676000000.0,769000000,23341000000.0,5545000000.0,1517000000.0,1033550000.0
BKNG,2021-12-31,2022-02-23,2981000000.0,618000000,23641000000.0,6178000000.0,178000000.0,1033550000.0
BKNG,2022-03-31,2022-05-04,2695000000.0,-700000000,22384000000.0,4373000000.0,1586000000.0,1034275000.0
BKNG,2022-06-30,2022-08-03,4294000000.0,857000000,24493000000.0,4002000000.0,2598000000.0,1034275000.0
BKNG,2022-09-30,2022-11-02,6052000000.0,1666000000,22063000000.0,3670000000.0,-96000000.0,991775000.0
BKNG,2022-12-31,2023-02-23,4049000000.0,1235000000,25361000000.0,2782000000.0,2576000000.0,1001300000.0
BKNG,2023-03-31,2023-05-04,3778000000.0,266000000,25206000000.0,1074000000.0,2801000000.0,949575000.0
BKNG,2023-06-30,2023-08-03,5462000000.0,1290000000,26558000000.0,-665000000.0,1451000000.0,924100000.0
BKNG,2023-09-30,2023-11-02,7341000000.0,2511000000,25635000000.0,-625000000.0,1624000000.0,899675000.0
BKNG,2023-12-31,2024-02-22,4784000000.0,222000000,24342000000.0,-2744000000.0,981000000.0,879650000.0
BKNG,2024-03-31,2024-05-02,4415000000.0,776000000,27728000000.0,-4052000000.0,2710000000.0,867650000.0
BKNG,2024-06-30,2024-08-01,5859000000.0,1521000000,28541000000.0,-4276000000.0,2420000000.0,856675000.0
BKNG,2024-09-30,2024-10-30,7994000000.0,2517000000,27978000000.0,-3653000000.0,2278000000.0,846600000.0
BKNG,2024-12-31,2025-02-20,5471000000.0,1068000000,27708000000.0,-4020000000.0,962000000.0,835475000.0
BKNG,2025-03-31,2025-04-29,4762000000.0,333000000,27191000000.0,-6112000000.0,2999000000.0,827325000.0
