ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
BLCM,2020-06-30,2020-08-06,,-43194000,72475000.0,-27477000.0,-28931000.0,5052234.0
BLCM,2020-09-30,2020-11-05,,-887000,60493000.0,-26722000.0,-13384000.0,5059779.0
BLCM,2020-12-31,2021-03-31,,18783000,40584000.0,15539000.0,-13397000.0,7888567.0
BLCM,2021-03-31,2021-05-14,,-11267000,31507000.0,5175000.0,-9193000.0,10034970.0
BLCM,2021-06-30,2021-08-12,700000.0,-2202000,23956000.0,3794000.0,-7789000.0,10108388.0
BLCM,2021-09-30,2021-11-04,5000000.0,1233000,22373000.0,5871000.0,-1003000.0,10194668.0
BLCM,2021-12-31,2022-03-24,500000.0,2531000,49143000.0,42431000.0,-6028000.0,5059779.0
BLCM,2022-03-31,2022-05-12,,-7562000,43434000.0,35465000.0,-6384000.0,15817832.0
BLCM,2022-06-30,2022-08-11,,-4001000,36604000.0,32073000.0,-6597000.0,30829184.0
BLCM,2022-09-30,2022-11-10,1000000.0,-7213000,31283000.0,25535000.0,-5905000.0,30831161.0
BLCM,2022-12-31,2023-03-31,500000.0,-6193000,23823000.0,20051000.0,-6918000.0,30831161.0
BLCM,2023-03-31,2023-05-11,8000.0,-8066000,17260000.0,12544000.0,-6435000.0,30835261000.0
BLCM,2023-06-30,2023-08-10,,-7352000,8733000.0,5251000.0,-7994000.0,30835261000.0
BLCM,2023-09-30,2023-11-14,1000000.0,-763000,6853000.0,4604000.0,-1531000.0,30904808000.0
