ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
BMEA,2020-12-31,2021-02-28,,-3498000,62526000.0,60907000.0,-2775000.0,27267867.0
BMEA,2021-03-31,2021-05-27,,-5852000,59875000.0,55956000.0,-4142000.0,27267867.0
BMEA,2021-06-30,2021-08-11,,-8399000,209533000.0,202016000.0,-7247000.0,25161038.0
BMEA,2021-09-30,2021-11-03,,-12606000,199403000.0,191331000.0,-11028000.0,29001213.0
BMEA,2021-12-31,2022-02-28,,-14710000,185705000.0,178783000.0,-16192000.0,14004090.0
BMEA,2022-03-31,2022-05-16,,-16366000,174864000.0,164765000.0,-10089000.0,29126088.0
BMEA,2022-06-30,2022-08-01,,-17258000,161736000.0,150390000.0,-15700000.0,29196398.0
BMEA,2022-09-30,2022-11-07,,-22890000,145050000.0,130635000.0,-16845000.0,29319042.0
BMEA,2022-12-31,2023-03-28,,-25314000,129307000.0,108539000.0,-20913000.0,29445580.0
BMEA,2023-03-31,2023-05-02,,-29051000,112638000.0,83129000.0,-26950000.0,29586468.0
BMEA,2023-06-30,2023-07-31,,-24891000,248674000.0,224305000.0,-26229000.0,35348293.0
BMEA,2023-09-30,2023-10-30,,-28429000,225087000.0,199612000.0,-23938000.0,35653988.0
BMEA,2023-12-31,2024-03-28,,-34884000,199927000.0,169237000.0,-22845000.0,35754165.0
BMEA,2024-03-31,2024-05-02,,-39061000,168494000.0,135314000.0,-32065000.0,35890370.0
BMEA,2024-06-30,2024-07-31,,-37276000,136164000.0,103948000.0,-32702000.0,36043561.0
BMEA,2024-09-30,2024-10-29,,-32787000,110419000.0,75972000.0,-25403000.0,36220736.0
BMEA,2024-12-31,2025-03-31,,-29302000,79938000.0,51573000.0,-30086000.0,36265001.0
BMEA,2025-03-31,2025-05-05,,-29262000,55055000.0,28737000.0,,36627148.0
