ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
BMRN,2020-06-30,2020-08-05,429485000.0,-29183000,5302110000.0,3236679000.0,-5748000.0,180729000.0
BMRN,2020-09-30,2020-11-06,476784000.0,784803000,6158090000.0,4053893000.0,66053000.0,197674000.0
BMRN,2020-12-31,2021-02-26,452117000.0,17028000,5848020000.0,4106002000.0,-53248000.0,201146000.0
BMRN,2021-03-31,2021-04-30,486030000.0,17371000,5805053000.0,4162010000.0,85258000.0,184365000.0
BMRN,2021-06-30,2021-07-30,501693000.0,12941000,5898496000.0,4241571000.0,56532000.0,180269000.0
BMRN,2021-09-30,2021-10-29,408742000.0,-36494000,5977475000.0,4266149000.0,76700000.0,183214000.0
BMRN,2021-12-31,2022-02-25,449810000.0,-57898000,6004772000.0,4265669000.0,-33179000.0,185008000.0
BMRN,2022-03-31,2022-04-29,519359000.0,120798000,6062707000.0,4391315000.0,-124756000.0,183554000.0
BMRN,2022-06-30,2022-08-04,533798000.0,27664000,6145841000.0,4504807000.0,28191000.0,187448000.0
BMRN,2022-09-30,2022-10-28,505344000.0,-6652000,6264040000.0,4568514000.0,121850000.0,185597000.0
BMRN,2022-12-31,2023-02-27,537538000.0,-249000,6375074000.0,4603156000.0,-36248000.0,199253000.0
BMRN,2023-03-31,2023-04-28,596415000.0,50852000,6433695000.0,4659043000.0,-98698000.0,194363000.0
BMRN,2023-06-30,2023-08-02,595275000.0,56040000,6563172000.0,4782827000.0,47332000.0,194998000.0
BMRN,2023-09-30,2023-11-02,581329000.0,40378000,6758163000.0,4896897000.0,112227000.0,191173000.0
BMRN,2023-12-31,2024-02-26,646207000.0,20375000,6841603000.0,4951549000.0,-9213000.0,185846000.0
BMRN,2024-03-31,2024-04-26,648833000.0,88662000,6872673000.0,5073816000.0,22867000.0,199262000.0
BMRN,2024-06-30,2024-08-05,712029000.0,107174000,7067121000.0,5286299000.0,96923000.0,200505000.0
BMRN,2024-09-30,2024-10-31,745740000.0,106080000,6851195000.0,5413396000.0,200305000.0,197147000.0
BMRN,2024-12-31,2025-02-24,747313000.0,124943000,6988940000.0,5657990000.0,165328000.0,189918000.0
BMRN,2025-03-31,2025-05-02,745145000.0,185686000,7147007000.0,5793459000.0,157626000.0,196474000.0
