ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
BNFT,2020-06-30,2020-08-06,62174000.0,-11862000,372200000.0,27588000.0,1782000.0,32058387.0
BNFT,2020-09-30,2020-11-09,63583000.0,-4396000,356712000.0,25353000.0,10544000.0,32263876.0
BNFT,2020-12-31,2021-03-10,76230000.0,3097000,362372000.0,30598000.0,13231000.0,32311736.0
BNFT,2021-03-31,2021-05-06,65063000.0,-2097000,361694000.0,28579000.0,6871000.0,32490811.0
BNFT,2021-06-30,2021-08-05,60904000.0,-15020000,352296000.0,16502000.0,6573000.0,33089747.0
BNFT,2021-09-30,2021-11-04,62026000.0,-18054000,252405000.0,-2025000.0,6398000.0,33354624.0
BNFT,2021-12-31,2022-03-04,75104000.0,3005000,260841000.0,2876000.0,1884000.0,34483314.0
BNFT,2022-03-31,2022-05-05,61225000.0,-2277000,251318000.0,-12116000.0,-5010000.0,33496846.0
BNFT,2022-06-30,2022-08-05,56587000.0,-12164000,245013000.0,-20565000.0,-2600000.0,34028422.0
BNFT,2022-09-30,2022-11-09,56190000.0,-6986000,233713000.0,-24869000.0,7511000.0,34279464.0
