ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
CAKE,2020-06-30,2020-07-03,295851000.0,-56539000,,,,43874000.0
CAKE,2020-09-30,2020-10-06,517716000.0,-28346000,,,,43900000.0
CAKE,2020-12-31,2021-02-24,554552000.0,-32317000,2747054000.0,506941000.0,23365000.0,43929000.0
CAKE,2021-03-31,2021-05-03,627417000.0,3868000,2735439000.0,529999000.0,13935000.0,44189000.0
CAKE,2021-06-30,2021-08-04,768956000.0,33715000,2722290000.0,284608000.0,85289000.0,44189000.0
CAKE,2021-09-30,2021-11-04,754474000.0,32680000,2717718000.0,321946000.0,-29704000.0,51113000.0
CAKE,2021-12-31,2022-02-22,776693000.0,2110000,2798125000.0,330166000.0,74876000.0,51113000.0
CAKE,2022-03-31,2022-05-02,793710000.0,23163000,2753741000.0,355326000.0,4280000.0,51013000.0
CAKE,2022-06-30,2022-08-01,832643000.0,25656000,2772433000.0,361684000.0,36573000.0,50929000.0
CAKE,2022-09-30,2022-11-02,784001000.0,-2398000,2734074000.0,323496000.0,-20498000.0,49653000.0
CAKE,2022-12-31,2023-02-27,892802000.0,-3298000,2775220000.0,292003000.0,28427000.0,50061000.0
CAKE,2023-03-31,2023-05-10,866114000.0,28050000,2742488000.0,299839000.0,26891000.0,49778000.0
CAKE,2023-06-30,2023-08-07,866170000.0,42675000,2769708000.0,325903000.0,11573000.0,49085000.0
CAKE,2023-09-30,2023-11-06,830210000.0,17945000,2776890000.0,321644000.0,11592000.0,48985000.0
CAKE,2023-12-31,2024-02-26,877009000.0,12681000,2840383000.0,318062000.0,15122000.0,48352000.0
CAKE,2024-03-31,2024-05-08,891223000.0,33191000,2837640000.0,332438000.0,29411000.0,48662000.0
CAKE,2024-06-30,2024-08-05,904042000.0,52444000,2879591000.0,373980000.0,-1943000.0,48775000.0
CAKE,2024-09-30,2024-11-04,865471000.0,29994000,2935788000.0,396379000.0,25506000.0,48946000.0
CAKE,2024-12-31,2025-02-24,920963000.0,41154000,3041760000.0,443455000.0,53933000.0,49513000.0
CAKE,2025-03-31,2025-05-05,927197000.0,32941000,3110864000.0,339405000.0,35566000.0,49284000.0
