ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
CAPL,2020-06-30,2020-08-07,398402000.0,5230000,1021660000.0,118514000.0,43393000.0,37738150.0
CAPL,2020-09-30,2020-11-05,591022000.0,21205000,1030213000.0,120075000.0,14984000.0,37868610.0
CAPL,2020-12-31,2021-03-02,551204000.0,8960000,1014342000.0,109668000.0,-422000.0,39869491.0
CAPL,2021-03-31,2021-05-11,657284000.0,-3967000,1009937000.0,87406000.0,7978000.0,37891130.0
CAPL,2021-06-30,2021-08-10,859334000.0,4789000,1004551000.0,72139000.0,16725000.0,37905010.0
CAPL,2021-09-30,2021-11-09,985122000.0,8852000,1280005000.0,61549000.0,30206000.0,37906799.0
CAPL,2021-12-31,2022-03-01,1077519000.0,11980000,1270142000.0,56558000.0,14059000.0,37924257.0
CAPL,2022-03-31,2022-05-10,1093211000.0,5047000,1280786000.0,74809000.0,20914000.0,37913003.0
CAPL,2022-06-30,2022-08-09,1475033000.0,13966000,1275408000.0,71087000.0,21135000.0,37957434.0
CAPL,2022-09-30,2022-11-08,1274407000.0,27593000,1246538000.0,57113000.0,62025000.0,39037660.0
CAPL,2022-12-31,2023-02-28,1124773000.0,17090000,1257377000.0,79133000.0,29478000.0,37330999.0
CAPL,2023-03-31,2023-05-09,1016159000.0,-979000,1223739000.0,28827000.0,6105000.0,38137158.0
CAPL,2023-06-30,2023-08-08,1145396000.0,14536000,1217575000.0,28344000.0,34363000.0,38150236.0
CAPL,2023-09-30,2023-11-08,1210023000.0,12292000,1217227000.0,22212000.0,21824000.0,38139258.0
CAPL,2023-12-31,2024-02-27,1014685000.0,16743000,1181682000.0,30751000.0,26397000.0,38098668.0
CAPL,2024-03-31,2024-05-09,941548000.0,-17540000,1179473000.0,-1818000.0,-289000.0,38144729.0
CAPL,2024-06-30,2024-08-08,1133355000.0,12424000,1164673000.0,-8179000.0,23480000.0,38199490.0
CAPL,2024-09-30,2024-11-06,1079163000.0,10708000,1130114000.0,-30698000.0,41465000.0,38200833.0
CAPL,2024-12-31,2025-02-27,944222000.0,16861000,1114725000.0,-24783000.0,892000.0,38144684.0
CAPL,2025-03-31,2025-05-08,862475000.0,-7115000,1086569000.0,-56326000.0,13678000.0,36976338.0
