ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
CBAY,2020-06-30,2020-08-10,,-10726000,176597000.0,165608000.0,,68885108.0
CBAY,2020-09-30,2020-11-05,,-11421000,168486000.0,156635000.0,-7473000.0,68887092.0
CBAY,2020-12-31,2021-03-25,,-15751000,153825000.0,142706000.0,-14816000.0,68917849.0
CBAY,2021-03-31,2021-05-13,,-17551000,136682000.0,127646000.0,-20655000.0,68946092.0
CBAY,2021-06-30,2021-08-12,,-23222000,117041000.0,107094000.0,-19221000.0,68985461.0
CBAY,2021-09-30,2021-11-10,,-22682000,122902000.0,87058000.0,-15413000.0,69022937.0
CBAY,2021-12-31,2022-03-17,,-26543000,202318000.0,132937000.0,-14243000.0,77266834.0
CBAY,2022-03-31,2022-05-12,,-27769000,200642000.0,107381000.0,,87802939.0
CBAY,2022-06-30,2022-08-11,,-27094000,177724000.0,82457000.0,-22564000.0,87802939.0
CBAY,2022-09-30,2022-11-14,,-24505000,159247000.0,60178000.0,-17533000.0,87804272.0
CBAY,2022-12-31,2023-03-23,,-26633000,141852000.0,36154000.0,-18769000.0,87806102.0
CBAY,2023-03-31,2023-05-15,,-28778000,245319000.0,104189000.0,6236000.0,87804063.0
CBAY,2023-06-30,2023-08-10,31016000.0,-808000,226650000.0,108408000.0,-25507000.0,102150390000.0
CBAY,2023-09-30,2023-11-07,,-33882000,451048000.0,326191000.0,-26145000.0,105717996.0
CBAY,2023-12-31,2024-02-28,57000.0,-41902000,434686000.0,292256000.0,-27560000.0,105717996.0
