ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
CBLI,2020-06-30,2020-08-14,63255.0,-369838,4079237.0,3291902.0,,11947364.0
CBLI,2020-09-30,2020-11-16,,-5678841,3231288.0,2747415.0,-7467628.0,13002452.0
CBLI,2020-12-31,2021-03-22,0.0,-4229991,1035484.0,-3655738.0,3277851.0,13283240.0
CBLI,2021-03-31,2021-05-14,,-5286646,14699758.0,14181607.0,-2596956.0,14227014.0
CBLI,2021-06-30,2021-08-16,0.0,-6605145,13828734.0,13528111.0,-3039631.0,15478945.0
CBLI,2021-09-30,2021-11-15,236519.0,-12719831,98036053.0,74194620.0,-15283261.0,15478945.0
CBLI,2021-12-31,2022-10-06,1250517.0,-77239199,21169685.0,-1506768.0,-7216243.0,15478945.0
CBLI,2022-03-31,2022-10-21,997839.0,-7757210,13509689.0,-2435054.0,-3768010.0,15478945.0
CBLI,2022-06-30,2022-10-28,768827.0,-3487394,13542336.0,-6921336.0,-168511.0,15478945.0
CBLI,2022-09-30,2022-11-14,670473.0,-3348812,12749125.0,-10168271.0,-801523.0,15478945.0
