ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
CCCS,2020-12-31,2021-02-12,165386000.0,5618000,3195555000.0,1385794000.0,37154000.0,594545380.0
CCCS,2021-03-31,2021-05-25,157789000.0,-5084000,691851881.0,606687682.0,38185000.0,594545380.0
CCCS,2021-06-30,2021-07-29,166789000.0,3816000,691716978.0,589057587.0,21586000.0,594545380.0
CCCS,2021-09-30,2021-11-12,176628000.0,-189782000,3218225000.0,1851217000.0,36905000.0,566454782.0
CCCS,2021-12-31,2022-03-01,187083000.0,-57869000,3237526000.0,1886497000.0,30610000.0,418687346.0
CCCS,2022-03-31,2022-05-06,186823000.0,11975000,3264897000.0,1932758000.0,,641028410.0
CCCS,2022-06-30,2022-08-05,192786000.0,15564000,3265577000.0,1981145000.0,,639964696.0
CCCS,2022-09-30,2022-11-04,198734000.0,9795000,3297917000.0,2024799000.0,,643582922.0
CCCS,2022-12-31,2023-03-01,204106000.0,1072000,3350921000.0,2059466000.0,33518000.0,646790356.0
CCCS,2023-03-31,2023-05-02,204919000.0,2184000,3341425000.0,2088734000.0,18544000.0,646380961.0
CCCS,2023-06-30,2023-08-01,211710000.0,-97659000,3302390000.0,2039500000.0,55004000.0,621235776.0
CCCS,2023-09-30,2023-11-06,221147000.0,-22212000,3341783000.0,2058982000.0,46403000.0,624976557.0
CCCS,2023-12-31,2024-02-28,228601000.0,25211000,3051040000.0,1798861000.0,75050000.0,609128027.0
CCCS,2024-03-31,2024-04-30,227237000.0,-1739000,3023660000.0,1801235000.0,39572000.0,635613521.0
CCCS,2024-06-30,2024-07-30,232618000.0,20224000,3079158000.0,1912593000.0,36213000.0,638367745.0
CCCS,2024-09-30,2024-10-28,238481000.0,2812000,3114549000.0,1960386000.0,49383000.0,642404517.0
CCCS,2024-12-31,2025-02-25,246464000.0,4848000,3183218000.0,2019502000.0,105706000.0,650293627.0
CCCS,2025-03-31,2025-05-06,251565000.0,-18697000,3611812000.0,2177460000.0,43646000.0,636832216.0
