ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
CCYC,2020-07-31,2020-11-12,,-22698,318709.0,-80669.0,,3105346.0
CCYC,2020-10-31,2020-12-15,14516.0,-69524,203326.0,-152017.0,-93292.0,3105250.0
CCYC,2021-01-31,2021-02-13,15122.0,-79898,435869.0,69002.0,-70264.0,68322855.0
CCYC,2021-04-30,2021-06-14,15050.0,-75059,342151.0,-7202.0,,153105464.0
CCYC,2021-07-31,2021-09-14,560.0,-125422,197010.0,-132053.0,,149532123.0
CCYC,2021-10-31,2021-12-15,,-106195,136218.0,-239443.0,,153105464.0
CCYC,2022-01-31,2022-03-15,,-103371,140818.0,-343355.0,,153105464.0
CCYC,2022-04-30,2022-06-14,,-90844,127203.0,-423562.0,,153105464.0
CCYC,2022-07-31,2022-10-31,,-80240,82790.0,-498157.0,,153105464.0
CCYC,2022-10-31,2022-12-15,22000.0,93223,63475.0,-568225.0,,153105464.0
CCYC,2023-01-31,2023-03-16,,-69845,79889.0,-665264.0,,153105464.0
CCYC,2023-04-30,2023-06-20,,-77988,42481.0,-731316.0,,153105464.0
CCYC,2023-07-31,2023-11-14,,-51534,1302.0,-5401.0,,153105464.0
CCYC,2023-10-31,2023-12-13,12230.0,13217,12167.0,-18617.0,,153105464.0
CCYC,2024-01-31,2024-03-18,,-13018,5010.0,-31635.0,,153105464.0
