ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
CDXS,2020-06-30,2020-08-07,14967000.0,-6344000,141783000.0,94786000.0,-10802000.0,59003000.0
CDXS,2020-09-30,2020-11-06,18385000.0,-6094000,138019000.0,90801000.0,-4244000.0,59061000.0
CDXS,2020-12-31,2021-03-01,21033000.0,-3920000,221646000.0,170103000.0,-2980000.0,60488000.0
CDXS,2021-03-31,2021-05-07,18032000.0,-9068000,212170000.0,163739000.0,-8973000.0,64290000.0
CDXS,2021-06-30,2021-08-06,25453000.0,-4265000,212310000.0,162773000.0,-10077000.0,61325000.0
CDXS,2021-09-30,2021-11-05,36769000.0,2244000,227551000.0,169055000.0,-4189000.0,67741000.0
CDXS,2021-12-31,2022-02-28,24501000.0,-10190000,246383000.0,164391000.0,4336000.0,77608000.0
CDXS,2022-03-31,2022-05-09,35340000.0,-8356000,235274000.0,158635000.0,-16268000.0,64914000.0
CDXS,2022-06-30,2022-08-05,38406000.0,-2640000,234970000.0,159459000.0,-4101000.0,65288000.0
CDXS,2022-09-30,2022-11-04,34470000.0,-9992000,235288000.0,154131000.0,18425000.0,65288000.0
CDXS,2022-12-31,2023-02-27,30375000.0,-12604000,250393000.0,144797000.0,4884000.0,65931000.0
CDXS,2023-03-31,2023-05-04,12982000.0,-22617000,218068000.0,126016000.0,-32602000.0,65931000.0
CDXS,2023-06-30,2023-08-03,21323000.0,-11523000,206761000.0,124131000.0,-16063000.0,67573000.0
CDXS,2023-09-30,2023-11-03,9277000.0,-34908000,154455000.0,91506000.0,2293000.0,69466000.0
CDXS,2023-12-31,2024-02-28,26561000.0,-7192000,136561000.0,86615000.0,-12141000.0,69554000.0
CDXS,2024-03-31,2024-05-02,17073000.0,-11505000,149559000.0,79267000.0,-8908000.0,69854000.0
CDXS,2024-06-30,2024-08-08,7979000.0,-22755000,132006000.0,61447000.0,-19696000.0,70376000.0
CDXS,2024-09-30,2024-10-31,12833000.0,-20640000,148183000.0,73400000.0,-6785000.0,72032000.0
CDXS,2024-12-31,2025-02-27,21460000.0,-10376000,149011000.0,66927000.0,-18239000.0,81370000.0
CDXS,2025-03-31,2025-05-14,7543000.0,-20688000,128887000.0,49629000.0,-15053000.0,82410000.0
