ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
CGTX,2021-09-30,2021-11-17,,-3110000,13389000.0,-1957000.0,,611680.0
CGTX,2021-12-31,2022-03-30,,-7339000,59137000.0,51273000.0,74000.0,19008246.0
CGTX,2022-03-31,2022-05-11,,-3838000,58696000.0,48740000.0,-3122000.0,22426982.0
CGTX,2022-06-30,2022-08-09,,-5752000,52812000.0,43899000.0,-5361000.0,22595359.0
CGTX,2022-09-30,2022-11-14,5947000.0,-6625000,53557000.0,39320000.0,-27000.0,23024026.0
CGTX,2022-12-31,2023-03-23,3981000.0,-5182000,50425000.0,40249000.0,-10194000.0,26514429.0
CGTX,2023-03-31,2023-05-04,3426000.0,-6172000,45663000.0,35783000.0,-2746000.0,29094592.0
CGTX,2023-06-30,2023-08-08,6925000.0,-4726000,43960000.0,34386000.0,-3714000.0,29614822.0
CGTX,2023-09-30,2023-11-02,7684000.0,-6749000,38772000.0,28926000.0,-4219000.0,30365506.0
CGTX,2023-12-31,2024-03-26,6770000.0,-8141000,35163000.0,24474000.0,-5486000.0,31041428.0
CGTX,2024-03-31,2024-05-07,4912000.0,-9151000,38851000.0,28860000.0,,33735269.0
CGTX,2024-06-30,2024-08-08,7311000.0,-7041000,34369000.0,23009000.0,-6000000.0,40062954.0
CGTX,2024-09-30,2024-11-13,4293000.0,-9937000,27579000.0,14482000.0,-6851000.0,40418065.0
CGTX,2024-12-31,2025-03-20,3033000.0,-7842000,30234000.0,18750000.0,-8383000.0,44704304.0
CGTX,2025-03-31,2025-05-07,5086000.0,-8480000,23500000.0,12270000.0,,61828149.0
