ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
CHWY,2020-07-31,2020-09-10,1699859000.0,-32817000,1144841000.0,-377612000.0,-56035000.0,404377000.0
CHWY,2020-10-31,2020-12-08,1782000000.0,-32847000,1643240000.0,-56421000.0,32898000.0,409260000.0
CHWY,2021-01-31,2021-03-30,2043012000.0,21048000,1740910000.0,-2004000.0,46982000.0,413918000.0
CHWY,2021-04-30,2021-06-10,2135178000.0,38719000,1898526000.0,69022000.0,59484000.0,427597000.0
CHWY,2021-07-31,2021-09-01,2155036000.0,-16686000,2018362000.0,75053000.0,60253000.0,416665000.0
CHWY,2021-10-31,2021-12-09,2212161000.0,-32241000,2195483000.0,66020000.0,2255000.0,417847000.0
CHWY,2022-01-31,2022-03-29,2465032000.0,-64999000,2086281000.0,14736000.0,-113435000.0,366851000.0
CHWY,2022-04-30,2022-06-01,2428327000.0,18472000,2190044000.0,58610000.0,6412000.0,426710000.0
CHWY,2022-07-31,2022-08-30,2431011000.0,22345000,2368513000.0,117391000.0,981000.0,426710000.0
CHWY,2022-10-31,2022-12-08,2532122000.0,2311000,2491163000.0,163955000.0,69786000.0,428125000.0
CHWY,2023-01-31,2023-03-22,2727540000.0,6771000,2519818000.0,160268000.0,42288000.0,427770000.0
CHWY,2023-04-30,2023-05-31,2790639000.0,22859000,2738344000.0,282365000.0,127139000.0,430471000.0
CHWY,2023-07-31,2023-08-30,2785302000.0,20207000,2904014000.0,364629000.0,100931000.0,431576000.0
CHWY,2023-10-31,2023-12-06,2745875000.0,-35372000,2936482000.0,393167000.0,47692000.0,430758000.0
CHWY,2024-01-31,2024-03-20,2825904000.0,31886000,3186851000.0,510244000.0,67167000.0,435355000.0
CHWY,2024-04-30,2024-05-29,2877700000.0,66900000,3201048000.0,642916000.0,52600000.0,436424000.0
CHWY,2024-07-31,2024-08-28,2858600000.0,299100000,3102491000.0,486749000.0,91500000.0,437882000.0
CHWY,2024-10-31,2024-12-04,2877600000.0,3900000,2957897000.0,223422000.0,151800000.0,426572000.0
CHWY,2025-01-31,2025-03-26,3247435000.0,22838000,3014500000.0,261500000.0,156594000.0,423082000.0
CHWY,2025-04-30,2025-06-11,3116000000.0,62400000,3060300000.0,375600000.0,48700000.0,425300000.0
