ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
CIVI,2020-06-30,2020-08-06,36192000.0,-38902000,1190231000.0,978038000.0,19916000.0,20834000.0
CIVI,2020-09-30,2020-11-06,58858000.0,3251000,1148775000.0,982952000.0,42887000.0,20903000.0
CIVI,2020-12-31,2021-02-17,62635000.0,60628000,1182812000.0,1045252000.0,44995000.0,21170000.0
CIVI,2021-03-31,2021-05-03,74159000.0,-119000,1208286000.0,1046760000.0,42926000.0,20839000.0
CIVI,2021-06-30,2021-08-09,156035000.0,-25319000,1916180000.0,1385114000.0,39497000.0,30655000.0
CIVI,2021-09-30,2021-10-29,189963000.0,40659000,1937084000.0,1417250000.0,104135000.0,31138000.0
CIVI,2021-12-31,2022-03-09,510457000.0,163700000,6741033000.0,4654998000.0,51404000.0,67467000.0
CIVI,2022-03-31,2022-05-05,817810000.0,91639000,7033747000.0,4637533000.0,232386000.0,85326000.0
CIVI,2022-06-30,2022-08-03,1151364000.0,468821000,7414430000.0,4992550000.0,718846000.0,85554000.0
CIVI,2022-09-30,2022-10-31,1007951000.0,405752000,7688797000.0,5253525000.0,683075000.0,85554000.0
CIVI,2022-12-31,2023-02-22,814273000.0,281868000,7971399000.0,5373919000.0,277299000.0,85982000.0
CIVI,2023-03-31,2023-05-03,656022000.0,202461000,7675048000.0,5101749000.0,257636000.0,82430000.0
CIVI,2023-06-30,2023-08-02,660526000.0,139287000,10170986000.0,5046687000.0,102608000.0,81144000.0
CIVI,2023-09-30,2023-11-07,1035916000.0,139672000,12841568000.0,6020633000.0,-3141234000.0,89631000.0
CIVI,2023-12-31,2024-02-27,1126776000.0,302868000,14097319000.0,6181321000.0,-2797937000.0,94747000.0
CIVI,2024-03-31,2024-05-02,1329203000.0,175821000,15084023000.0,6634928000.0,240975000.0,101293000.0
