ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
CLVS,2020-06-30,2020-08-07,39887000.0,-92247000,628209000.0,-97375000.0,-59898000.0,80453000.0
CLVS,2020-09-30,2020-11-05,38772000.0,-78676000,593057000.0,-163366000.0,-54343000.0,88255000.0
CLVS,2020-12-31,2021-02-25,43299000.0,-98958000,605554000.0,-158748000.0,-56313000.0,96858000.0
CLVS,2021-03-31,2021-05-05,38053000.0,-66277000,548838000.0,-221039000.0,-62008000.0,104246000.0
CLVS,2021-06-30,2021-08-04,36820000.0,-66448000,572229000.0,-206983000.0,-46791000.0,108481000000.0
CLVS,2021-09-30,2021-11-03,37916000.0,-67410000,507997000.0,-225461000.0,-46158000.0,121217000000.0
CLVS,2021-12-31,2022-02-24,35968000.0,-64391000,472833000.0,-278840000.0,-41412000.0,138205000000.0
CLVS,2022-03-31,2022-05-05,34247000.0,-60169000,451529000.0,-303306000.0,-58557000.0,138205000000.0
CLVS,2022-06-30,2022-08-08,32143000.0,-71332000,392856000.0,-367695000.0,-35173000.0,144036000000.0
CLVS,2022-09-30,2022-11-09,30663000.0,-56014000,346775000.0,-417886000.0,-40699000.0,144625000000.0
