ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
CMAX,2020-06-30,2020-08-18,25795000.0,3382000,526616.0,-5564.0,2820689.0,2672253.0
CMAX,2020-09-30,2020-11-13,24306000.0,-315000,145032529.0,140442338.0,1909000.0,2672253.0
CMAX,2020-12-31,2021-02-15,28087000.0,1273000,38503000.0,6727000.0,-1046000.0,2672253.0
CMAX,2021-03-31,2021-05-10,27918000.0,1302000,40937476.0,8023890.0,1682000.0,2672253.0
CMAX,2021-06-30,2021-08-18,44919000.0,-7346118,633070000.0,460566813.0,-6517000.0,945878.0
CMAX,2021-09-30,2021-11-15,104620000.0,-2854611,665702000.0,506365000.0,-7258000.0,2748999.0
CMAX,2021-12-31,2022-03-16,118306000.0,-3554000,653092000.0,505369000.0,-16078000.0,641984.0
CMAX,2022-03-31,2022-05-10,136920000.0,-16799000,649083000.0,492191000.0,-13607000.0,2909353.0
CMAX,2022-06-30,2022-08-09,172279000.0,-9380000,708979000.0,488127000.0,-16684000.0,2911183.0
CMAX,2022-09-30,2022-11-09,157670000.0,-22053000,707433000.0,469205000.0,-14381000.0,2910707.0
CMAX,2022-12-31,2023-03-30,164264000.0,10434000,1170743000.0,619547000.0,-30995000.0,3363225.0
CMAX,2023-03-31,2023-05-10,172983000.0,-82081000,1097701000.0,539763000.0,-24033000.0,3708315.0
CMAX,2023-06-30,2023-08-09,224440000.0,-32377000,1150966000.0,624496000.0,-24463000.0,3718654.0
CMAX,2023-09-30,2023-11-09,201843000.0,-103123000,1058116000.0,524616000.0,-21955000.0,3732436.0
CMAX,2023-12-31,2024-03-18,151835000.0,-465768000,623302000.0,61444000.0,8926000.0,3751495.0
CMAX,2024-03-31,2024-05-09,232246000.0,-43409000,614202000.0,20402000.0,-23927000.0,3778600.0
CMAX,2024-06-30,2024-08-09,198627000.0,-170557000,454042000.0,-147759000.0,-24981000.0,3807551.0
