ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
COOK,2021-06-30,2021-09-10,213022000.0,-4907000,1119160000.0,511563000.0,36354000.0,2350958.0
COOK,2021-09-30,2021-11-15,162018000.0,-89185000,1149701000.0,624144000.0,-23801000.0,2287659.0
COOK,2021-12-31,2022-03-29,174932000.0,-36604000,1177526000.0,606022000.0,-32050000.0,2247493.0
COOK,2022-03-31,2022-05-12,223710000.0,-8960000,1268544000.0,623157000.0,-51435000.0,2357785.0
COOK,2022-06-30,2022-08-15,200270000.0,-133134000,1110193000.0,508535000.0,8963000.0,2364223.0
COOK,2022-09-30,2022-11-14,93788000.0,-211142000,926207000.0,363367000.0,21343000.0,2398487.0
COOK,2022-12-31,2023-03-16,138133000.0,-28904000,946715000.0,334869000.0,7825000.0,2455407.0
COOK,2023-03-31,2023-05-10,153161000.0,-10930000,937997000.0,327389000.0,-23958000.0,2453982.0
COOK,2023-06-30,2023-08-08,171512000.0,-30166000,869645000.0,327525000.0,42674000.0,2460555.0
COOK,2023-09-30,2023-11-09,117730000.0,-19261000,836720000.0,311773000.0,12154000.0,2481073.0
COOK,2023-12-31,2024-03-08,163479000.0,-24045000,860759000.0,291348000.0,15518000.0,2502490.0
COOK,2024-03-31,2024-05-09,144914000.0,-4683000,862086000.0,294625000.0,-18198000.0,2503939.0
COOK,2024-06-30,2024-08-07,168471000.0,-2578000,842406000.0,297286000.0,11816000.0,2542777.0
COOK,2024-09-30,2024-11-07,122050000.0,-19789000,818076000.0,279826000.0,12877000.0,2565839.0
COOK,2024-12-31,2025-03-07,168637000.0,-6958000,830677000.0,276430000.0,5510000.0,2582939.0
COOK,2025-03-31,2025-05-02,143283000.0,-778000,825600000.0,279550000.0,-22654000.0,2585908.0
