ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
CPB,2020-07-31,2020-09-24,2108000000.0,86000000,12372000000.0,2569000000.0,192000000.0,304000000.0
CPB,2020-10-31,2020-12-09,2340000000.0,309000000,12417000000.0,2773000000.0,106000000.0,304000000.0
CPB,2021-01-31,2021-03-10,2279000000.0,245000000,12498000000.0,2925000000.0,373000000.0,305000000.0
CPB,2021-04-30,2021-06-09,1984000000.0,160000000,11730000000.0,2995000000.0,212000000.0,305000000.0
CPB,2021-07-31,2021-09-23,1873000000.0,288000000,11734000000.0,3154000000.0,69000000.0,305000000.0
CPB,2021-10-31,2021-12-08,2236000000.0,261000000,11899000000.0,3237000000.0,219000000.0,303000000.0
CPB,2022-01-31,2022-03-09,2209000000.0,212000000,11991000000.0,3352000000.0,418000000.0,303000000.0
CPB,2022-04-30,2022-06-08,2130000000.0,188000000,11847000000.0,3395000000.0,285000000.0,301000000.0
CPB,2022-07-31,2022-09-22,1987000000.0,96000000,11892000000.0,3333000000.0,17000000.0,302000000.0
CPB,2022-10-31,2022-12-07,2575000000.0,297000000,12177000000.0,3469000000.0,,301000000.0
CPB,2023-01-31,2023-03-08,2485000000.0,232000000,11967000000.0,3601000000.0,-536000000.0,301000000.0
CPB,2023-04-30,2023-06-07,2229000000.0,160000000,12073000000.0,3588000000.0,128000000.0,301000000.0
CPB,2023-07-31,2023-09-21,2068000000.0,169000000,12058000000.0,3663000000.0,107000000.0,301000000.0
CPB,2023-10-31,2023-12-06,2518000000.0,234000000,12257000000.0,3757000000.0,37000000.0,299000000.0
CPB,2024-01-31,2024-03-06,2456000000.0,203000000,12106000000.0,3851000000.0,401000000.0,299000000.0
CPB,2024-04-30,2024-06-05,2369000000.0,133000000,15243000000.0,3915000000.0,150000000.0,300000000.0
CPB,2024-07-31,2024-09-19,2293000000.0,-3000000,15235000000.0,3796000000.0,162000000.0,302000000.0
CPB,2024-10-31,2024-12-04,2772000000.0,218000000,16112000000.0,3844000000.0,122000000.0,301000000.0
CPB,2025-01-31,2025-03-05,2685000000.0,173000000,15910000000.0,3912000000.0,423000000.0,299000000.0
CPB,2025-04-30,2025-06-02,2475000000.0,66000000,14828000000.0,3872000000.0,75000000.0,299000000.0
