ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
CPRT,2020-07-31,2020-09-28,525659000.0,165533000,3455261000.0,2489516000.0,151286000.0,954256000.0
CPRT,2020-10-31,2020-11-20,592940000.0,200285000,3741188000.0,2710833000.0,111711000.0,959872000.0
CPRT,2021-01-31,2021-02-24,617031000.0,193440000,3934438000.0,2942592000.0,-1755000.0,961120000.0
CPRT,2021-04-30,2021-05-24,733910000.0,286796000,4281946000.0,3249377000.0,288453000.0,960832000.0
CPRT,2021-07-31,2021-09-27,748630000.0,255974000,4562143000.0,3529201000.0,132016000.0,960596000.0
CPRT,2021-10-31,2021-11-19,810132000.0,260363000,4918852000.0,3793821000.0,248657000.0,962856000.0
CPRT,2022-01-31,2022-03-03,867460000.0,287412000,5136956000.0,4089856000.0,42943000.0,962856000.0
CPRT,2022-04-30,2022-05-25,939941000.0,278620000,5443874000.0,4353054000.0,340066000.0,962896000.0
CPRT,2022-07-31,2022-09-27,883388000.0,263735000,5308864000.0,4625599000.0,211902000.0,964604000.0
CPRT,2022-10-31,2022-11-18,893372000.0,245848000,5593677000.0,4852834000.0,159089000.0,964336000.0
CPRT,2023-01-31,2023-02-24,956724000.0,293677000,5932408000.0,5213652000.0,100368000.0,965072000.0
CPRT,2023-04-30,2023-05-25,1021831000.0,350431000,6349805000.0,5592422000.0,420161000.0,967380000.0
CPRT,2023-07-31,2023-09-28,997591000.0,347785000,6737879000.0,5987440000.0,201875000.0,969800000.0
CPRT,2023-10-31,2023-11-21,1020416000.0,332527000,7333786000.0,6436639000.0,213910000.0,971682000.0
CPRT,2024-01-31,2024-02-27,1020149000.0,325635000,7598520000.0,6812714000.0,39909000.0,974589000.0
CPRT,2024-04-30,2024-05-23,1127259000.0,382291000,8010632000.0,7196186000.0,409873000.0,976445000.0
CPRT,2024-07-31,2024-09-30,1068999000.0,322567000,8427764000.0,7548555000.0,302048000.0,976476000.0
CPRT,2024-10-31,2024-11-26,1146829000.0,362086000,8869487000.0,7919946000.0,245759000.0,976506000.0
CPRT,2025-01-31,2025-02-26,1163316000.0,387400000,9187347000.0,8324032000.0,61905000.0,977910000.0
CPRT,2025-04-30,2025-06-03,1211716000.0,406609000,9672222000.0,8802697000.0,576794000.0,978089000.0
