ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
CRAI,2020-06-30,2020-07-30,123031000.0,5931000,548589000.0,202215000.0,15507000.0,7920000.0
CRAI,2020-09-30,2020-10-29,121762000.0,5403000,550177000.0,204395000.0,31423000.0,7934000.0
CRAI,2020-12-31,2021-03-04,137422000.0,6705000,558510000.0,209019000.0,63963000.0,7901000.0
CRAI,2021-03-31,2021-05-06,146518000.0,10501000,542520000.0,211328000.0,-40540000.0,7831000.0
CRAI,2021-06-30,2021-08-05,148237000.0,11566000,534965000.0,197831000.0,3147000.0,7539000.0
CRAI,2021-09-30,2021-11-04,136412000.0,10945000,529907000.0,204285000.0,49566000.0,7560000.0
CRAI,2021-12-31,2022-03-03,134766000.0,8667000,555360000.0,205834000.0,60902000.0,7554000.0
CRAI,2022-03-31,2022-05-05,148382000.0,11426000,550842000.0,209225000.0,-63184000.0,7503000.0
CRAI,2022-06-30,2022-08-04,149102000.0,11643000,547033000.0,197986000.0,-17695000.0,7380000.0
CRAI,2022-09-30,2022-11-03,148441000.0,11877000,554279000.0,200675000.0,42865000.0,7246000.0
CRAI,2022-12-31,2023-03-02,144976000.0,8673000,550917000.0,211154000.0,59322000.0,7291000.0
CRAI,2023-03-31,2023-05-04,152845000.0,8918000,562056000.0,196784000.0,-70613000.0,7252000.0
CRAI,2023-06-30,2023-08-03,161965000.0,9508000,551058000.0,202786000.0,4352000.0,7080000.0
CRAI,2023-09-30,2023-11-02,147553000.0,8596000,539045000.0,207958000.0,64226000.0,7083000.0
CRAI,2023-12-31,2024-02-29,161613000.0,11459000,553211000.0,212101000.0,59741000.0,7057000.0
CRAI,2024-03-31,2024-05-02,171789000.0,13691000,552542000.0,211790000.0,-63810000.0,7011000.0
CRAI,2024-06-30,2024-08-01,171442000.0,6538000,546012000.0,191749000.0,-509000.0,6911000.0
CRAI,2024-09-30,2024-10-31,167748000.0,11437000,582343000.0,204513000.0,28598000.0,6843000.0
CRAI,2024-12-31,2025-02-20,176435000.0,14987000,571439000.0,212073000.0,68833000.0,6867000.0
CRAI,2025-03-31,2025-05-01,181851000.0,18002000,590442000.0,227319000.0,-80968000.0,6862000.0
