ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
CREG,2020-06-30,2020-08-14,,993940000,121226758.0,79056261.0,,231722.0
CREG,2020-09-30,2020-11-16,,-671280,126433145.0,82974348.0,,268761.0
CREG,2020-12-31,2021-04-15,,4051099891,137137520000.0,92154193000.0,82191382676.0,311732.0
CREG,2021-03-31,2021-05-17,,-277224,173549441000.0,90736806000.0,,317705.0
CREG,2021-06-30,2021-08-16,,2220571,151432026000.0,133429665000.0,,569490.0
CREG,2021-09-30,2021-11-12,,-556574,150797683.0,134089794.0,,661576.0
CREG,2021-12-31,2022-09-13,,-12231576773,153272462000.0,124758185000.0,,694682.0
CREG,2022-03-31,2022-07-12,,-441459,153873076.0,126935014.0,,724370.0
CREG,2022-06-30,2022-10-11,,-224810,145454658.0,119179708.0,,727719.0
CREG,2022-09-30,2022-11-14,,-447637,137395070.0,111532634.0,,735805.0
CREG,2022-12-31,2023-05-08,,-3343421,139135705.0,110793193.0,-435600.0,746093.0
CREG,2023-03-31,2023-06-21,,-89504,140936866.0,112874927.0,,756518.0
CREG,2023-06-30,2023-08-11,,-247842,133944369.0,91522309.0,,780399.0
CREG,2023-09-30,2023-11-13,,-180723,134726693.0,92310521.0,,796991.0
CREG,2023-12-31,2024-04-11,,-228717,136469546.0,109245667.0,,780039.0
CREG,2024-03-31,2024-05-14,,-279797,136299394.0,109168492.0,,811583.0
CREG,2024-06-30,2024-08-14,,-409757,135499579.0,108248612.0,,836039.0
CREG,2024-09-30,2024-11-08,,-262731,137654603.0,110237873.0,,870554.0
