ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
CTAS,2020-05-31,2020-07-29,1619584000.0,144585000,7669885000.0,3235202000.0,316024000.0,424168000.0
CTAS,2020-08-31,2020-10-09,1746575000.0,300005000,8043381000.0,3604804000.0,281416000.0,428516000.0
CTAS,2020-11-30,2021-01-08,1757048000.0,284857000,8454753000.0,3597960000.0,233889000.0,431924000.0
CTAS,2021-02-28,2021-04-06,1777056000.0,258384000,8347497000.0,3816510000.0,289100000.0,431984000.0
CTAS,2021-05-31,2021-07-28,1835662000.0,267722000,8236823000.0,3687847000.0,412865000.0,430784000.0
CTAS,2021-08-31,2021-10-07,1896950000.0,331179000,7857750000.0,3309203000.0,213393000.0,423776000.0
CTAS,2021-11-30,2022-01-06,1922281000.0,294669000,8017410000.0,3563127000.0,271760000.0,424488000.0
CTAS,2022-02-28,2022-04-07,1960542000.0,315448000,8168600000.0,3293900000.0,336051000.0,424488000.0
CTAS,2022-05-31,2022-07-27,2074686000.0,294461000,8147256000.0,3308196000.0,491096000.0,430828000.0
CTAS,2022-08-31,2022-10-06,2166454000.0,351689000,8261026000.0,3229626000.0,228140000.0,417708000.0
CTAS,2022-11-30,2023-01-06,2174858000.0,324293000,8427007000.0,3430538000.0,244605000.0,413348000.0
CTAS,2023-02-28,2023-04-06,2189986000.0,325827000,8466001000.0,3633256000.0,347330000.0,413672000.0
CTAS,2023-05-31,2023-07-27,2284471000.0,346201000,8546356000.0,3863986000.0,435044000.0,409304000.0
CTAS,2023-08-31,2023-10-05,2342330000.0,385085000,8719681000.0,4077635000.0,230248000.0,414288000.0
CTAS,2023-11-30,2024-01-08,2377177000.0,374613000,8813869000.0,3994481000.0,298856000.0,413064000.0
CTAS,2024-02-29,2024-04-05,2406173000.0,397579000,8978875000.0,4234083000.0,550079000.0,412748000.0
CTAS,2024-05-31,2024-07-25,2470935000.0,414315000,9168817000.0,4316372000.0,579848000.0,413772000.0
CTAS,2024-08-31,2024-10-04,2501587000.0,452033000,9068707000.0,4021423000.0,367436000.0,410496000.0
CTAS,2024-11-30,2025-01-08,2561783000.0,448495000,9366529000.0,4293106000.0,349226000.0,410667000.0
CTAS,2025-02-28,2025-04-03,2609159000.0,463497000,9611136000.0,4592248000.0,543206000.0,410307000.0
