ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
CXM,2021-07-31,2021-09-10,118692000.0,-32351000,,,-9158000.0,167590000.0
CXM,2021-10-31,2021-12-10,127056000.0,-27708000,,,,255195000.0
CXM,2021-12-31,2022-03-11,135666000.0,-36920000,,,-15940000.0,220693953.0
CXM,2022-04-30,2022-06-14,144978000.0,-25288000,900173000.0,506358000.0,-3548000.0,256903000.0
CXM,2022-07-31,2022-09-08,150630000.0,-23927000,911284000.0,508015000.0,4170000.0,256903000.0
CXM,2022-10-31,2022-12-06,157251000.0,-5860000,896995000.0,517428000.0,1041000.0,281344000.0
CXM,2023-01-31,2023-04-03,165331000.0,-667000,1024991000.0,549332000.0,18906000.0,281344000.0
CXM,2023-04-30,2023-06-05,173363000.0,2808000,1024018000.0,578852000.0,16935000.0,281344000.0
CXM,2023-07-31,2023-09-06,178465000.0,10485000,1072653000.0,617286000.0,11787000.0,283853000.0
CXM,2023-10-31,2023-12-06,186325000.0,16967000,1087714000.0,658204000.0,18946000.0,288121000.0
CXM,2024-01-31,2024-03-29,194207000.0,21143000,1223110000.0,679700000.0,15249000.0,295054000.0
CXM,2024-04-30,2024-06-05,195958000.0,10634000,1124108000.0,610931000.0,39167000.0,284032000.0
CXM,2024-07-31,2024-09-04,197208000.0,1841000,983798000.0,468967000.0,19839000.0,271934000.0
CXM,2024-10-31,2024-12-04,200689000.0,10455000,970301000.0,497024000.0,8219000.0,261972000.0
CXM,2025-01-31,2025-03-21,202539000.0,98679000,1184199000.0,612063000.0,4563000.0,281154000.0
CXM,2025-04-30,2025-06-05,205500000.0,-1568000,1189508000.0,639772000.0,83225000.0,265683000.0
