ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
DAL,2020-06-30,2020-07-15,1468000000.0,-5717000000,72261000000.0,8690000000.0,-571000000.0,635000000.0
DAL,2020-09-30,2020-10-14,3062000000.0,-5379000000,79076000000.0,3357000000.0,-2708000000.0,635000000.0
DAL,2020-12-31,2021-02-12,3973000000.0,-755000000,71996000000.0,1534000000.0,-1634000000.0,637000000.0
DAL,2021-03-31,2021-04-15,4150000000.0,-1177000000,73083000000.0,482000000.0,253000000.0,636000000.0
DAL,2021-06-30,2021-07-14,7126000000.0,652000000,75309000000.0,1281000000.0,1105000000.0,646000000.0
DAL,2021-09-30,2021-10-13,9154000000.0,1212000000,72783000000.0,2606000000.0,-679000000.0,641000000.0
DAL,2021-12-31,2022-02-11,9470000000.0,-408000000,72459000000.0,3887000000.0,178000000.0,641000000.0
DAL,2022-03-31,2022-04-13,9348000000.0,-940000000,73748000000.0,2991000000.0,5000000.0,641000000.0
DAL,2022-06-30,2022-07-13,13824000000.0,735000000,74805000000.0,3811000000.0,1577000000.0,641000000.0
DAL,2022-09-30,2022-10-13,13975000000.0,695000000,72596000000.0,4590000000.0,-573000000.0,641000000.0
DAL,2022-12-31,2023-02-10,13435000000.0,829000000,72288000000.0,6582000000.0,-1107000000.0,641000000.0
DAL,2023-03-31,2023-04-13,12759000000.0,-363000000,73134000000.0,6260000000.0,1865000000.0,639000000.0
DAL,2023-06-30,2023-07-13,15578000000.0,1827000000,73497000000.0,8100000000.0,2230000000.0,642000000.0
DAL,2023-09-30,2023-10-12,15488000000.0,1108000000,73247000000.0,9226000000.0,663000000.0,644000000.0
DAL,2023-12-31,2024-02-12,14223000000.0,2037000000,73644000000.0,11105000000.0,28000000.0,647000000.0
DAL,2024-03-31,2024-04-10,13748000000.0,37000000,74969000000.0,11151000000.0,2098000000.0,645000000.0
DAL,2024-06-30,2024-07-11,16658000000.0,1305000000,75197000000.0,12386000000.0,257000000.0,648000000.0
DAL,2024-09-30,2024-10-10,15677000000.0,1272000000,75368000000.0,13646000000.0,-54000000.0,647000000.0
DAL,2024-12-31,2025-02-11,15559000000.0,843000000,75372000000.0,15293000000.0,-710000000.0,652000000.0
DAL,2025-03-31,2025-04-09,14040000000.0,240000000,77342000000.0,15447000000.0,1154000000.0,652000000.0
