ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
DBI,2022-04-30,2022-06-02,830543000.0,26182000,2087744000.0,416793000.0,-52920000.0,76924000.0
DBI,2022-07-31,2022-08-31,859319000.0,46213000,2102439000.0,360948000.0,36633000.0,73942000.0
DBI,2022-10-31,2022-12-01,865020000.0,45171000,2171378000.0,383512000.0,12299000.0,69140000.0
DBI,2023-01-31,2023-03-16,760546000.0,45110000,2009618000.0,436056000.0,150440000.0,68398000.0
DBI,2023-04-30,2023-06-08,742082000.0,11415000,2134495000.0,443247000.0,8164000.0,67042000.0
DBI,2023-07-31,2023-09-07,792217000.0,37204000,2147338000.0,462962000.0,101080000.0,66997000.0
DBI,2023-10-31,2023-12-05,786329000.0,10141000,2132578000.0,390792000.0,50962000.0,61405000.0
DBI,2024-01-31,2024-03-25,754348000.0,-29698000,2076232000.0,362508000.0,-52804000.0,58056000.0
DBI,2024-04-30,2024-06-04,746596000.0,783000,2163603000.0,361862000.0,-35571000.0,59470000.0
DBI,2024-07-31,2024-09-11,771900000.0,13824000,2107134000.0,359064000.0,27988000.0,58576000.0
DBI,2024-10-31,2024-12-10,777194000.0,13012000,2080764000.0,321778000.0,-19190000.0,53486000.0
DBI,2025-01-31,2025-03-30,713572000.0,-38168000,2009224000.0,281775000.0,58118000.0,47919000.0
DBI,2025-04-30,2025-06-10,686909000.0,-17424000,2091536000.0,270513000.0,-27595000.0,48728000.0
