ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
DCI,2020-07-31,2020-09-25,617400000.0,64100000,2244599999.0,1003800000.0,105600001.0,128000000.0
DCI,2020-10-31,2020-12-04,636600000.0,61900000,2269400000.0,1063500000.0,110100000.0,128000000.0
DCI,2021-01-31,2021-03-02,679100000.0,56200000,2271100000.0,1074400000.0,61800000.0,128200000.0
DCI,2021-04-30,2021-06-07,765000000.0,84400000,2354600000.0,1153400000.0,93500000.0,128300000.0
DCI,2021-07-31,2021-09-24,773100000.0,84300000,2400200000.0,1137100000.0,78200000.0,128300000.0
DCI,2021-10-31,2021-12-08,760900000.0,77100000,2438500000.0,1115900000.0,24600000.0,128200000.0
DCI,2022-01-31,2022-03-03,802500000.0,71800000,2491300000.0,1116800000.0,21700000.0,126300000.0
DCI,2022-04-30,2022-06-06,853200000.0,83000000,2519200000.0,1123600000.0,40800000.0,124600000.0
DCI,2022-07-31,2022-09-23,890000000.0,101000000,2600300000.0,1133200000.0,80600000.0,125200000.0
DCI,2022-10-31,2022-12-07,847300000.0,87200000,2512000000.0,1154800000.0,90100000.0,123900000.0
DCI,2023-01-31,2023-03-08,828300000.0,86000000,2578600000.0,1194200000.0,72800000.0,123300000.0
DCI,2023-04-30,2023-06-05,875700000.0,93700000,2675500000.0,1298700000.0,98000000.0,123500000.0
DCI,2023-07-31,2023-09-22,879500000.0,91900000,2770500000.0,1320700000.0,165500000.0,123700000.0
DCI,2023-10-31,2023-12-06,846300000.0,92100000,2768600000.0,1336100000.0,114800000.0,122600000.0
DCI,2024-01-31,2024-03-04,876700000.0,98700000,2783500000.0,1375800000.0,65700000.0,122100000.0
DCI,2024-04-30,2024-06-04,927900000.0,113500000,2866100000.0,1484000000.0,120200000.0,122900000.0
DCI,2024-07-31,2024-09-27,935400000.0,109700000,2914300000.0,1489100000.0,106900000.0,122800000.0
DCI,2024-10-31,2024-12-06,900100000.0,99000000,3043600000.0,1543000000.0,47900000.0,121900000.0
DCI,2025-01-31,2025-03-04,870000000.0,95900000,2961300000.0,1544400000.0,71500000.0,121400000.0
DCI,2025-04-30,2025-06-03,940100000.0,57800000,2996500000.0,1464200000.0,73000000.0,120300000.0
