ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
DECA,2022-03-31,2022-05-23,,-11343,441882.0,13657.0,,
DECA,2022-06-30,2022-08-15,,-30847,85527298.0,82477495.0,,
DECA,2022-09-30,2022-11-09,,307468,85763266.0,82784963.0,,
DECA,2022-12-31,2023-02-09,,-684668,86279436.0,82100295.0,,
DECA,2023-03-31,2023-05-22,,-1009102,86957511.0,81091193.0,,
DECA,2023-06-30,2023-08-15,,457709,88189555.0,81548902.0,,
DECA,2023-09-30,2023-11-09,,630586,90146984.0,82179488.0,,
DECA,2023-12-31,2024-04-01,,553343,50687403.0,42195923.0,,
DECA,2024-03-31,2024-05-22,,264330,51347261.0,42460254.0,,
DECA,2024-06-30,2024-08-19,,448912,52115789.0,42909166.0,,
DECA,2024-09-30,2024-11-19,,-1298000,8924547.0,-557024.0,,200000000.0
DECA,2024-12-31,2025-04-02,,-776000,6684000.0,-42784000.0,,200000000.0
DECA,2025-03-31,2025-05-16,,-194603,9147903.0,-1591314.0,,
