ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
DEN,2020-06-30,2020-08-11,117875000.0,-697474000,4058035000.0,804419000.0,-22484000.0,495245000.0
DEN,2020-09-30,2020-11-16,23533000.0,2758000,1677870000.0,1098177000.0,31665000.0,497398000.0
DEN,2020-12-31,2021-03-05,-309512000.0,1381920000,1634758000.0,1053668000.0,-8446000.0,50319000.0
DEN,2021-03-31,2021-05-06,251159000.0,-69642000,1721160000.0,1001926000.0,21906000.0,50319000.0
DEN,2021-06-30,2021-08-05,301368000.0,-77695000,1750094000.0,927198000.0,71015000.0,50319000.0
DEN,2021-09-30,2021-11-04,343735000.0,82708000,1812265000.0,1012793000.0,30598000.0,54714000.0
DEN,2021-12-31,2022-02-03,361898000.0,120631000,1902953000.0,1135390000.0,50802000.0,54714000.0
DEN,2022-03-31,2022-05-06,411859000.0,-872000,2031349000.0,1137649000.0,1332000.0,55114000.0
DEN,2022-06-30,2022-08-04,482156000.0,155494000,2138680000.0,1268841000.0,78853000.0,54886000.0
DEN,2022-09-30,2022-11-03,439487000.0,250423000,2243331000.0,1452877000.0,75494000.0,54886000.0
DEN,2022-12-31,2023-02-23,381157000.0,75115000,2327499000.0,1532617000.0,47233000.0,52534000.0
DEN,2023-03-31,2023-05-04,341018000.0,89199000,2432063000.0,1624583000.0,-31563000.0,53763000.0
DEN,2023-06-30,2023-08-04,328983000.0,67281000,2541619000.0,1700153000.0,50825000.0,53999000.0
DEN,2023-09-30,2023-11-21,355247000.0,-2893000,2651199000.0,1715774000.0,34299000.0,52417000.0
