ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
DGX,2020-06-30,2020-07-24,1827000000.0,185000000,12990000000.0,5958000000.0,273000000.0,136000000.0
DGX,2020-09-30,2020-10-23,2786000000.0,568000000,14143000000.0,6526000000.0,771000000.0,137000000.0
DGX,2020-12-31,2021-02-22,3002000000.0,579000000,14026000000.0,6891000000.0,379000000.0,136000000.0
DGX,2021-03-31,2021-04-23,2720000000.0,469000000,13931000000.0,6869000000.0,645000000.0,135000000.0
DGX,2021-06-30,2021-07-23,2550000000.0,631000000,12861000000.0,6018000000.0,376000000.0,135000000.0
DGX,2021-09-30,2021-10-22,2774000000.0,505000000,13572000000.0,6511000000.0,472000000.0,125000000.0
DGX,2021-12-31,2022-02-28,2744000000.0,390000000,13611000000.0,6562000000.0,337000000.0,125000000.0
DGX,2022-03-31,2022-04-22,2611000000.0,355000000,13442000000.0,6493000000.0,417000000.0,125000000.0
DGX,2022-06-30,2022-07-22,2453000000.0,234000000,13312000000.0,6527000000.0,326000000.0,119000000.0
DGX,2022-09-30,2022-10-21,2486000000.0,256000000,13223000000.0,6349000000.0,384000000.0,118000000.0
DGX,2022-12-31,2023-02-21,2333000000.0,101000000,12837000000.0,6007000000.0,187000000.0,110000000.0
DGX,2023-03-31,2023-04-28,2331000000.0,202000000,12794000000.0,6165000000.0,-33000000.0,113000000.0
DGX,2023-06-30,2023-07-27,2338000000.0,235000000,13425000000.0,6364000000.0,340000000.0,114000000.0
DGX,2023-09-30,2023-10-25,2295000000.0,225000000,13482000000.0,6539000000.0,102000000.0,114000000.0
DGX,2023-12-31,2024-02-22,2288000000.0,192000000,14022000000.0,6418000000.0,455000000.0,111000000.0
DGX,2024-03-31,2024-04-24,2366000000.0,194000000,13954000000.0,6546000000.0,50000000.0,112000000.0
DGX,2024-06-30,2024-07-24,2397000000.0,229000000,13881000000.0,6735000000.0,268000000.0,112000000.0
DGX,2024-09-30,2024-10-23,2488000000.0,226000000,16095000000.0,6921000000.0,250000000.0,113000000.0
DGX,2024-12-31,2025-02-20,2621000000.0,222000000,16153000000.0,6896000000.0,341000000.0,115000000.0
DGX,2025-03-31,2025-04-23,2652000000.0,220000000,15797000000.0,7043000000.0,197000000.0,113000000.0
