ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
DHIL,2020-06-30,2020-08-05,28248929.0,12200690,259663739.0,226826460.0,18958315.0,3220973.0
DHIL,2020-09-30,2020-10-27,31175755.0,10565515,269115786.0,229827202.0,15634293.0,3200957.0
DHIL,2020-12-31,2021-02-25,35037289.0,14364232,263097341.0,208201204.0,20853678.0,3163565.0
DHIL,2021-03-31,2021-04-26,39014433.0,13708511,259665393.0,224547144.0,-16073946.0,3156768.0
DHIL,2021-06-30,2021-07-28,45069653.0,16864830,287568261.0,243356216.0,18237688.0,3196501.0
DHIL,2021-09-30,2021-10-26,55054554.0,25627645,316744019.0,258612767.0,12126701.0,3192535.0
DHIL,2021-12-31,2022-02-25,43055197.0,17999623,286153403.0,217447943.0,52498282.0,3172184.0
DHIL,2022-03-31,2022-04-26,42256386.0,9129952,261366323.0,227824837.0,-13701083.0,3185930.0
DHIL,2022-06-30,2022-07-28,39021114.0,4412886,252181684.0,216671384.0,14143690.0,3153084.0
DHIL,2022-09-30,2022-10-26,38264674.0,12014440,243675662.0,199003358.0,15726822.0,3078666.0
DHIL,2022-12-31,2023-02-23,34953845.0,14876829,249821410.0,225554577.0,30594942.0,3013988.0
DHIL,2023-03-31,2023-05-10,33990503.0,12707552,234530691.0,210148708.0,-12487640.0,3025094.0
DHIL,2023-06-30,2023-08-03,33350637.0,9432479,240618592.0,207772689.0,14593915.0,2970357.0
DHIL,2023-09-30,2023-10-31,35554280.0,6473432,254310361.0,207123204.0,20434099.0,2939055.0
DHIL,2023-12-31,2024-02-29,33820951.0,13612959,232094348.0,211796396.0,12107045.0,2859994.0
DHIL,2024-03-31,2024-05-08,36294930.0,13015933,209085809.0,218904854.0,-12423070.0,2816839.0
DHIL,2024-06-30,2024-07-31,36661333.0,8125840,213051263.0,213897108.0,19199249.0,2769427.0
DHIL,2024-09-30,2024-11-04,39018232.0,14644593,240809809.0,223939122.0,18257160.0,2738588.0
DHIL,2024-12-31,2025-02-26,39120636.0,7391363,245126650.0,217524886.0,-9797927.0,2706586.0
DHIL,2025-03-31,2025-04-29,37116210.0,10362263,224437389.0,235832401.0,-11158823.0,2748568.0
