ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
DOMO,2020-07-31,2020-09-09,51131000.0,-17903000,195135000.0,-72868000.0,-6583000.0,29001000.0
DOMO,2020-10-31,2020-12-10,53645000.0,-22221000,193142000.0,-78516000.0,-2827000.0,29533000.0
DOMO,2021-01-31,2021-04-01,56843000.0,-19615000,216438000.0,-83459000.0,2107000.0,30248000.0
DOMO,2021-04-30,2021-06-09,60062000.0,-18104000,216438000.0,-83459000.0,-4506000.0,31019000.0
DOMO,2021-07-31,2021-09-09,62825000.0,-22240000,206796000.0,-101538000.0,529000.0,31883000.0
DOMO,2021-10-31,2021-12-10,65081000.0,-28513000,211133000.0,-112557000.0,-1518000.0,31451000.0
DOMO,2022-01-31,2022-03-23,69993000.0,-33254000,244589000.0,-125978000.0,-643000.0,29308000.0
DOMO,2022-04-30,2022-06-08,74464000.0,-32888000,231872000.0,-131954000.0,-1156000.0,33295000.0
DOMO,2022-07-31,2022-09-08,75531000.0,-29139000,224006000.0,-140946000.0,-3837000.0,33973000.0
DOMO,2022-10-31,2022-12-09,79026000.0,-23711000,217331000.0,-146125000.0,-8139000.0,34392000.0
DOMO,2023-01-31,2023-03-27,79624000.0,-19813000,242116000.0,-146400000.0,-5754000.0,34708000.0
DOMO,2023-04-30,2023-06-09,79458000.0,-24403000,219190000.0,-151169000.0,-2748000.0,35222000.0
DOMO,2023-07-31,2023-09-05,79672000.0,-16068000,212100000.0,-151841000.0,-2315000.0,35884000.0
DOMO,2023-10-31,2023-12-08,79675000.0,-16413000,208219000.0,-150771000.0,-7039000.0,36310000.0
DOMO,2024-01-31,2024-03-28,80184000.0,-18685000,225660000.0,-153546000.0,2925000.0,36784000.0
DOMO,2024-04-30,2024-06-07,80103000.0,-26007000,204404000.0,-163481000.0,-625000.0,37482000.0
DOMO,2024-07-31,2024-09-06,78407000.0,-19490000,197757000.0,-166361000.0,-8375000.0,38389000.0
DOMO,2024-10-31,2024-12-10,79764000.0,-18761000,190211000.0,-171170000.0,-16216000.0,38832000.0
DOMO,2025-01-31,2025-04-04,78770000.0,-17677000,214340000.0,-177246000.0,6719000.0,39301000.0
DOMO,2025-04-30,2025-06-06,80111000.0,-18052000,189680000.0,-178702000.0,1024000.0,39735000.0
