ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
DPZ,2020-06-30,2020-07-16,920023000.0,118668000,1581688000.0,-3282906000.0,100205000.0,39633404.0
DPZ,2020-09-30,2020-10-08,967719000.0,99129000,1620948000.0,-3211531000.0,141140000.0,39640791.0
DPZ,2020-12-31,2021-02-25,1356567000.0,151897000,1567168000.0,-3300405000.0,184964000.0,39640791.0
DPZ,2021-03-31,2021-04-29,983698000.0,117761000,1662832000.0,-3236080000.0,136290000.0,39208383.0
DPZ,2021-06-30,2021-07-22,1032472000.0,116619000,1721793000.0,-4140570000.0,125962000.0,39208383.0
DPZ,2021-09-30,2021-10-14,997990000.0,120402000,1764356000.0,-4127513000.0,171697000.0,37130209.0
DPZ,2021-12-31,2022-03-01,1343213000.0,155685000,1671816000.0,-4209536000.0,80876000.0,37130209.0
DPZ,2022-03-31,2022-04-28,1011149000.0,90964000,1674022000.0,-4198642000.0,66335000.0,36668295.0
DPZ,2022-06-30,2022-07-21,1065182000.0,102493000,1670630000.0,-4180309000.0,54416000.0,36668295.0
DPZ,2022-09-30,2022-10-13,1068596000.0,100504000,1646409000.0,-4316545000.0,279646000.0,36668295.0
DPZ,2022-12-31,2023-01-12,1392231000.0,158302000,1602221000.0,-4189065000.0,140800000.0,37691351.0
DPZ,2023-03-31,2023-04-27,1024398000.0,104770000,1641390000.0,-4151773000.0,117982000.0,35715408.0
DPZ,2023-06-30,2023-07-24,1024627000.0,109380000,1596170000.0,-4166566000.0,89720000.0,35492423.0
DPZ,2023-08-31,2023-09-10,1027361000.0,147676000,1619464000.0,-4141542000.0,,35357043.0
DPZ,2023-12-31,2024-02-26,1402972000.0,157292000,1674899000.0,-4070367000.0,116421000.0,35040378.0
DPZ,2024-03-31,2024-04-29,1084647000.0,125824000,1744742000.0,-4008330000.0,135208000.0,35154232.0
DPZ,2024-06-30,2024-07-18,1097736000.0,141978000,1856006000.0,-3891125000.0,103454000.0,35224080.0
DPZ,2024-08-31,2024-09-10,1080119000.0,146924000,1775066000.0,-3976638000.0,,35039408.0
DPZ,2024-12-31,2025-02-24,1443914000.0,169444000,1737013000.0,-3962291000.0,137951000.0,34548216.0
DPZ,2025-03-31,2025-04-28,1112056000.0,149651000,1877619000.0,-3912688000.0,173426000.0,34553820.0
