ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
DRIO,2021-03-31,2021-05-17,3595000.0,-14966000,124187000.0,112267000.0,-10600000.0,701296.0
DRIO,2021-06-30,2021-08-16,5261000.0,-17765000,130983000.0,118113000.0,-12335000.0,784568.0
DRIO,2021-09-30,2021-11-15,5629000.0,-22444000,117186000.0,104439000.0,-12531000.0,823672.0
DRIO,2021-12-31,2022-03-09,6028000.0,-21586000,100771000.0,85549000.0,-15204000.0,495648.0
DRIO,2022-03-31,2022-05-11,8059000.0,-15915000,127331000.0,114185000.0,-18160000.0,784568.0
DRIO,2022-06-30,2022-08-10,6183000.0,-18028000,137339000.0,99652000.0,-11274000.0,1121301.0
DRIO,2022-09-30,2022-11-02,6605000.0,-15632000,126334000.0,88946000.0,-10984000.0,1148660.0
DRIO,2022-12-31,2023-02-02,6809000.0,-12617000,119191000.0,79999000.0,-8000000.0,1672479.0
DRIO,2023-03-31,2023-05-11,7065000.0,-12826000,108009000.0,72030000.0,-4831000.0,1181752.0
DRIO,2023-06-30,2023-08-10,6152000.0,-16585000,117159000.0,78404000.0,-9782000.0,1440780.0
DRIO,2023-09-30,2023-11-02,3518000.0,-15732000,106505000.0,68035000.0,-8926000.0,1440780.0
DRIO,2023-12-31,2024-03-28,3616000.0,-14285000,96389000.0,58144000.0,-7424000.0,1440780.0
DRIO,2024-03-31,2024-05-15,5758000.0,-7175000,136964000.0,78033000.0,-13166000.0,1786269.0
DRIO,2024-06-30,2024-08-08,6255000.0,-13610000,122134000.0,68055000.0,-11392000.0,1991540.0
DRIO,2024-09-30,2024-11-07,7423000.0,-12330000,109953000.0,58511000.0,-7389000.0,2020872.0
DRIO,2024-12-31,2025-03-10,7604000.0,-9632000,118884000.0,72019000.0,-6753000.0,3943847.0
DRIO,2025-03-31,2025-05-14,6752000.0,-9227000,115600000.0,73699000.0,-6704000.0,2368530.0
