ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
DTEA,2020-07-31,2020-09-21,,2609000,89166000.0,-132491000.0,,26767470.0
DTEA,2020-10-31,2020-12-15,26225000.0,14467000,77424000.0,-4538000.0,-12110000.0,26767470.0
DTEA,2021-01-31,2021-04-30,40189000.0,-27221000,81242000.0,-31291000.0,8385000.0,26767470.0
DTEA,2021-04-30,2021-06-15,23249000.0,3221000,84727000.0,-27172000.0,,27455005.0
DTEA,2021-07-31,2021-09-14,18743000.0,75678000,70921000.0,48225000.0,,27455005.0
DTEA,2021-10-31,2021-12-14,22203000.0,-1864000,69758000.0,46741000.0,,26359969.0
DTEA,2022-01-31,2022-04-29,39878000.0,1291000,78602000.0,48315000.0,11926000.0,26168848.0
DTEA,2022-04-30,2022-06-14,20435000.0,-1842000,72945000.0,46655000.0,,26426055.0
DTEA,2022-07-31,2022-09-13,15225000.0,-4835000,70476000.0,41916000.0,-2863000.0,26359969.0
DTEA,2022-10-31,2022-12-13,16176000.0,-4717000,68574000.0,37827000.0,,26359969.0
