ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
EAT,2020-06-30,2020-08-24,563200000.0,-49200000,2355999999.0,-479100000.0,-15100001.0,41600000.0
EAT,2020-09-30,2020-10-28,740100000.0,10700000,2335300000.0,-465100000.0,69200000.0,45700000.0
EAT,2020-12-31,2021-01-27,760700000.0,12000000,2357699999.0,-444100000.0,25000000.0,46100000.0
EAT,2021-03-31,2021-04-28,828400000.0,33900000,2308999999.0,-390600000.0,113600000.0,46700000.0
EAT,2021-06-30,2021-08-26,1008600000.0,75000000,2274900000.0,-303300000.0,69500000.0,46200000.0
EAT,2021-09-30,2021-11-03,876400000.0,13200000,2339400000.0,-325500000.0,2900000.0,47000000.0
EAT,2021-12-31,2022-02-02,925800000.0,27600000,2457300000.0,-327400000.0,30400000.0,47000000.0
EAT,2022-03-31,2022-05-04,980400000.0,36600000,2458800000.0,-311200000.0,69400000.0,45900000.0
EAT,2022-06-30,2022-08-26,1021500000.0,40200000,2484400000.0,-268100000.0,-700000.0,42500000.0
EAT,2022-09-30,2022-11-02,955500000.0,-30200000,2493800000.0,-296600000.0,-22100000.0,43900000.0
EAT,2022-12-31,2023-02-01,1019000000.0,27900000,2519600000.0,-267500000.0,-5200000.0,44800000.0
EAT,2023-03-31,2023-05-03,1083200000.0,50700000,2478100000.0,-210300000.0,91500000.0,45100000.0
EAT,2023-06-30,2023-08-23,1075500000.0,54200000,2487000000.0,-144300000.0,12700000.0,46200000.0
EAT,2023-09-30,2023-11-01,1012500000.0,7200000,2474800000.0,-156300000.0,12200000.0,45400000.0
EAT,2023-12-31,2024-01-31,1074100000.0,42100000,2510700000.0,-109500000.0,49300000.0,44900000.0
EAT,2024-03-31,2024-04-30,1120300000.0,48700000,2495700000.0,-46700000.0,78900000.0,45200000.0
EAT,2024-06-30,2024-08-21,1208200000.0,57300000,2593100000.0,39400000.0,87300000.0,47300000.0
EAT,2024-09-30,2024-10-30,1139000000.0,38100000,2533100000.0,12700000.0,6300000.0,45900000.0
EAT,2024-12-31,2025-01-29,1358200000.0,118500000,2560300000.0,131500000.0,168900000.0,45500000.0
EAT,2025-03-31,2025-04-29,1425100000.0,119100000,2571900000.0,259000000.0,132400000.0,46400000.0
