ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
ECL,2020-06-30,2020-08-06,2685700000.0,-2035000000,18082400000.0,5890200000.0,284799999.0,291500000.0
ECL,2020-09-30,2020-10-30,3018600000.0,246200000,18097100000.0,6049400000.0,338399999.0,288400000.0
ECL,2020-12-31,2021-02-26,3065300000.0,300300000,18126000000.0,6201500000.0,523100001.0,288700000.0
ECL,2021-03-31,2021-05-06,2885000000.0,193600001,18208100000.0,6320099999.0,193200000.0,288800000.0
ECL,2021-06-30,2021-08-05,3162700000.0,310800000,18533700000.0,6736299999.0,359800000.0,288800000.0
ECL,2021-09-30,2021-10-29,3320800000.0,324500000,17926200000.0,6961800000.0,444200000.0,289200000.0
ECL,2021-12-31,2022-02-25,3364600000.0,301000000,21206400000.0,7253100000.0,433900000.0,289200000.0
ECL,2022-03-31,2022-05-05,3266700000.0,171900000,21067200000.0,7105100000.0,21400000.0,288100000.0
ECL,2022-06-30,2022-08-04,3580600000.0,308300000,21163600000.0,7118400000.0,153600000.0,286600000.0
ECL,2022-09-30,2022-11-04,3669300000.0,347100000,21037000000.0,7089900000.0,244200000.0,286300000.0
ECL,2022-12-31,2023-02-24,3671200000.0,264400000,21464300000.0,7258600000.0,658600000.0,285800000.0
ECL,2023-03-31,2023-05-04,3571600000.0,233400000,21251500000.0,7365000000.0,29300000.0,285900000.0
ECL,2023-06-30,2023-08-03,3852100000.0,329700000,21456200000.0,7580500000.0,396600000.0,286300000.0
ECL,2023-09-30,2023-11-02,3958100000.0,404000000,21858100000.0,7822500000.0,630700000.0,286900000.0
ECL,2023-12-31,2024-02-23,3938400000.0,405200000,21846600000.0,8072200000.0,590300000.0,287100000.0
ECL,2024-03-31,2024-05-02,3751900000.0,412100000,21298500000.0,8225600000.0,448600000.0,287800000.0
ECL,2024-06-30,2024-08-02,3985800000.0,490900000,21461800000.0,8307900000.0,413500000.0,287000000.0
ECL,2024-09-30,2024-10-31,3998500000.0,736500000,22101600000.0,8575500000.0,553600000.0,286000000.0
ECL,2024-12-31,2025-02-21,4005200000.0,472900000,22387800000.0,8789200000.0,415000000.0,285700000.0
ECL,2025-03-31,2025-05-08,3695000000.0,402500000,22366400000.0,8903700000.0,153100000.0,285300000.0
