ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
ENFN,2021-09-30,2021-12-03,29045000.0,3293000,49631000.0,-229538426.0,-4281000.0,64066841.0
ENFN,2021-12-31,2022-03-30,31853000.0,-169969000,106085000.0,55186009.0,-6089000.0,83045000.0
ENFN,2022-03-31,2022-05-13,34141000.0,-7265000,104951000.0,54916350.0,-7268000.0,83384000.0
ENFN,2022-06-30,2022-08-10,36540000.0,-2422000,110127000.0,59078151.0,798000.0,84581000.0
ENFN,2022-09-30,2022-11-10,39151000.0,1539000,115602000.0,61101215.0,6920000.0,131760000.0
ENFN,2022-12-31,2023-03-10,40517000.0,494000,123783000.0,64934960.0,5321000.0,41847000.0
ENFN,2023-03-31,2023-05-09,40971000.0,2945000,121493000.0,63764925.0,-565000.0,132346000.0
ENFN,2023-06-30,2023-08-08,42721000.0,629000,94053000.0,48216912.0,5217000.0,129856000.0
ENFN,2023-09-30,2023-11-07,44357000.0,1828000,101740000.0,50719111.0,11148000.0,127841000.0
ENFN,2023-12-31,2024-03-12,46486000.0,623000,108972000.0,53672578.0,5381000.0,127673000.0
ENFN,2024-03-31,2024-05-09,48052000.0,-539000,110963000.0,58122805.0,898000.0,128724000.0
ENFN,2024-06-30,2024-08-06,49455000.0,1826000,120090000.0,64322153.0,6309000.0,128852000.0
ENFN,2024-09-30,2024-11-04,51166000.0,1415000,134940000.0,69921730.0,15058000.0,128984000.0
ENFN,2024-12-31,2025-03-03,52938000.0,121000,143261000.0,99539000.0,8782000.0,130708000.0
