ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
ENLC,2022-06-30,2022-08-04,2600600000.0,85300000,8678800000.0,1291548594.0,111000000.0,489000000.0
ENLC,2022-09-30,2022-11-02,2663500000.0,80800000,8813300000.0,1260758872.0,254200000.0,484400000.0
ENLC,2022-12-31,2023-02-15,2050300000.0,160000000,8651000000.0,1304245664.0,116900000.0,485300000.0
ENLC,2023-03-31,2023-05-03,1767500000.0,58200000,8546400000.0,1239703534.0,171400000.0,473300000.0
ENLC,2023-06-30,2023-08-02,1530100000.0,54300000,8399900000.0,1161689154.0,213300000.0,466700000.0
ENLC,2023-09-30,2023-11-01,1746200000.0,29500000,8490500000.0,1085044321.0,156400000.0,463900000.0
ENLC,2023-12-31,2024-02-21,1856300000.0,64200000,8328600000.0,999577690.0,309000000.0,460100000.0
ENLC,2024-03-31,2024-05-01,1647900000.0,14500000,8128000000.0,896038168.0,182900000.0,454200000.0
ENLC,2024-06-30,2024-08-07,1551100000.0,38100000,8152300000.0,918509746.0,62200000.0,454100000.0
ENLC,2024-09-30,2024-11-08,1608400000.0,14000000,7883800000.0,943845902.0,177000000.0,461200000.0
